Farmácia,Status,Total Unidades Vendidas,Frequencia_Vendas,EAN_ou_SKU,Nome_do_Produto,Preco_Tabela,Preco_Cartao_Valor,Desconto_Cartao,Preco_Pix_Valor,Desconto_Pix
FarmaPonte,Esgotado,743.0,29,0.0,Algodão Hidrófilo Ever Care 25g,0,0,0,0,0
FarmaPonte,Esgotado,615.0,16,0.0,Océane Retouch My Glam - Pó Translúcido 8g,0,0,0,0,0
FarmaPonte,Esgotado,612.0,26,0.0,Algodão Hidrófilo Ever Care 50g,0,0,0,0,0
FarmaPonte,Esgotado,606.0,25,0.0,Grampo Para Cabelo Loiro Número 7 Corpus,0,0,0,0,0
FarmaPonte,Esgotado,600.0,24,0.0,Algodão Hidrófilo Ever Care 500g,0,0,0,0,0
Drogaria São Paulo,Disponível,596.0,15,7896006209027.0,Baclon 10mg União Química 20 comprimidos,"27,03","16,03",-40.7%,"16,03",-40.7%
Drogaria São Paulo,Disponível,577.0,17,7896226506388.0,Prolopa 200mg + 50mg Roche 30 Comprimidos,"131,38","101,99",-22.4%,"101,99",-22.4%
Drogaria São Paulo,Disponível,575.0,16,7897076909077.0,Cloridrato Tizanidina 2mg Genérico Ranbaxy 30 Comprimidos,"42,46","36,74",-13.5%,"36,74",-13.5%
FarmaPonte,Esgotado,548.0,15,0.0,Perfume Miss Gabriela Sabatini Eau de Toilette 30ml,0,0,0,0,0
Drogaria São Paulo,Disponível,545.0,15,7896181907176.0,Busonid 50mcg/dose Aché 6ml 120 Doses Solução Nasal,"47,24","37,59",-20.4%,"37,59",-20.4%
FarmaPonte,Esgotado,538.0,15,0.0,Bico Para Mamadeira Philips Avent Pétala Número 4 6+M 2 Unidades,0,0,0,0,0
FarmaPonte,Esgotado,531.0,15,0.0,Base Líquida Matte Eudora Niina Secrets Daily Tint Cream Cor 48 25 ml,0,0,0,0,0
Drogaria São Paulo,Disponível,529.0,15,7896004720746.0,Amoxicilina 400mg/5ml + Clavulanato de Potássio 57mg/5ml Genérico EMS 70ml Suspensão Oral,"96,23","39,99",-58.4%,"39,99",-58.4%
FarmaPonte,Esgotado,529.0,18,0.0,Óleo Corporal Infantil Cheirinho De Bebê Amêndoas Suave 140ml,0,0,0,0,0
FarmaPonte,Esgotado,527.0,16,0.0,Máscara Capilar Aussie Non Stop Hydratation Tratamento Intensivo 270ml,0,0,0,0,0
FarmaPonte,Esgotado,525.0,15,0.0,"Actifedrin 2,5mg + 60mg Farmoquímica 20 Comprimidos",0,0,0,0,0
Drogaria São Paulo,Disponível,521.0,16,7898158693709.0,Varicoss 15mg + 90mg Cifarma 60 Drágeas,"114,04","69,59",-39.0%,"69,59",-39.0%
FarmaPonte,Esgotado,520.0,18,0.0,Catharine Hill Angel Wings by Pri Lessa  - Base Alta Cobertura  40ml - A5,0,0,0,0,0
FarmaPonte,Esgotado,519.0,24,0.0,Kit Miss Frandy - Cílios Postiços com 10 Pares,0,0,0,0,0
FarmaPonte,Esgotado,519.0,13,0.0,Pincel Para Iluminador - Shimmer Brush Ocn6 Océane - Pincel Para Iluminador - Shimmer Brush Ocn6 Indefinido,0,0,0,0,0
FarmaPonte,Esgotado,517.0,15,0.0,Preservativo Blowtex Efeito Retardante 9 Unidades,0,0,0,0,0
Drogaria São Paulo,Disponível,517.0,14,7891268148831.0,"Concor HCT 5mg + 12,5mg Merck 30 Comprimidos","191,72","182,20",-5.0%,"182,20",-5.0%
FarmaPonte,Esgotado,515.0,15,0.0,Escova de Cabelo Ricca Shower Flex Turquesa 1 Unidade,0,0,0,0,0
Drogaria São Paulo,Disponível,514.0,13,7896714215976.0,Ciprofibrato 100mg Genérico Neo Química 30 Comprimidos,"82,95","31,99",-61.4%,"31,99",-61.4%
Drogaria São Paulo,Disponível,514.0,14,7891721003042.0,Valsed 100mg Cifarma 20 Comprimidos,"30,28","26,32",-13.1%,"26,32",-13.1%
Drogaria São Paulo,Disponível,512.0,13,7897595609816.0,Sinvastatina 10mg Genérico Sandoz 30 Comprimidos Revestidos,"26,18","10,48",-60.0%,"10,48",-60.0%
FarmaPonte,Esgotado,510.0,17,0.0,Minoxidil 5% com biotina 120ml,0,0,0,0,0
Drogaria São Paulo,Disponível,510.0,17,7897076906038.0,Oxcarbazepina 300mg Genérico Ranbaxy 60 Comprimidos,"98,50","74,24",-24.6%,"74,24",-24.6%
Drogaria São Paulo,Disponível,510.0,14,7899551303868.0,Cloridrato de Nebivolol 5mg Genérico Biolab 30 Comprimidos,"56,63","42,99",-24.1%,"42,99",-24.1%
FarmaPonte,Esgotado,507.0,15,0.0,Bolinha Para Massagem Corporal Incoterm,0,0,0,0,0
FarmaPonte,Esgotado,507.0,16,0.0,Barra De Proteína Crisp Bar Doce de Coco 1 Unidade,0,0,0,0,0
FarmaPonte,Esgotado,507.0,14,0.0,Geleia de morango 270g - Delicassis,0,0,0,0,0
FarmaPonte,Esgotado,505.0,14,0.0,Deprasil 30mg Cristália 30 Cápsulas Duras,0,0,0,0,0
FarmaPonte,Esgotado,504.0,13,0.0,Refresco Magro Sabor Laranja Zero Açucares 8G,0,0,0,0,0
FarmaPonte,Esgotado,502.0,15,0.0,Bico de Mamadeira MAM Ortodôntico,0,0,0,0,0
FarmaPonte,Esgotado,501.0,16,0.0,Refil Sabonete Líquido Protex Vitamina E 900ml,0,0,0,0,0
Drogaria São Paulo,Disponível,500.0,15,7891721202391.0,Aciclovir 400mg Genérico Merck 30 Comprimidos,"295,98","58,99",-80.1%,"58,99",-80.1%
FarmaPonte,Esgotado,498.0,14,0.0,Óleo Essencial de Lavandin 5ml - WNF,0,0,0,0,0
Drogaria São Paulo,Disponível,497.0,14,7897851220069.0,Amiobal 100mg Baldacci 30 Comprimidos,"26,52","22,07",-16.8%,"22,07",-16.8%
Drogaria São Paulo,Disponível,496.0,14,7898029552302.0,Diatarcom MR 60mg Servier 30 Comprimidos,"49,42","37,52",-24.1%,"37,52",-24.1%
FarmaPonte,Esgotado,495.0,14,0.0,Pasta de Dente Infantil Oral-B Kids Mickey 50g,0,0,0,0,0
FarmaPonte,Esgotado,494.0,16,0.0,Creme para Pernas Diosmin 200g,0,0,0,0,0
FarmaPonte,Esgotado,493.0,16,0.0,Algodão Ever Care Hidrófilo Rolo 250g,0,0,0,0,0
FarmaPonte,Esgotado,492.0,16,0.0,"Nordette 0,15mg + 0,03mg Pfizer 21 Drágeas",0,0,0,0,0
FarmaPonte,Esgotado,490.0,14,0.0,Acetona Beira Alta - 450ml,0,0,0,0,0
Drogaria São Paulo,Disponível,490.0,15,7896658000409.0,Flebon 50mg Farmoquimica  30 Comprimidos,"114,45","107,09",-6.4%,"107,09",-6.4%
Drogaria São Paulo,Disponível,490.0,14,7896112143369.0,"Asmofen 0,2mg/1ml Teuto 120ml Xarope","31,71","27,59",-13.0%,"27,59",-13.0%
FarmaPonte,Esgotado,489.0,16,0.0,Kit Protetor Solar Nivea Protect & Bronze FPS30 200ml + 100ml,0,0,0,0,0
Drogaria São Paulo,Disponível,489.0,14,7895858000004.0,Deca Durabolin 50mg/ml Aspen 1ml Ampola Injetável,"31,46","23,35",-25.8%,"23,35",-25.8%
Drogaria São Paulo,Disponível,489.0,15,7896658038112.0,Tormiv SL 10mg Ache 10 Comprimidos Sublinguais,"36,34","20,69",-43.1%,"20,69",-43.1%
Drogaria São Paulo,Disponível,488.0,15,7899620910478.0,Novoprazol 20mg Globo 28 Comprimidos,"15,52","15,19",-2.1%,"15,19",-2.1%
FarmaPonte,Esgotado,487.0,15,0.0,Espuma de Barbear Bozzano Refrescante Antibac 200ml,0,0,0,0,0
FarmaPonte,Esgotado,487.0,14,0.0,Leave-in de Recarga de Queratina Magic Beauty Liss Extreme 120 ml,0,0,0,0,0
Drogaria São Paulo,Disponível,486.0,13,7896094202030.0,Cicladol 20mg Chiesi 5 Comprimidos,"47,18","37,62",-20.3%,"37,62",-20.3%
FarmaPonte,Esgotado,486.0,14,0.0,Bebida Isotônica Powerade Tangerina 500ml,0,0,0,0,0
FarmaPonte,Esgotado,485.0,15,0.0,Mamadeira Kuka Natural Color com Bico Ortodôntico Rosa 1557 250ml,0,0,0,0,0
FarmaPonte,Esgotado,485.0,15,0.0,Óleo de Amêndoas Ever You Meu SPA Mandarina & Limão Siciliano 130ml,0,0,0,0,0
FarmaPonte,Esgotado,485.0,13,0.0,Bolsa Termogel Grande,0,0,0,0,0
FarmaPonte,Esgotado,483.0,15,0.0,Brinco Studex Supermaxxi Pedra Branca Prata 1 Par,0,0,0,0,0
FarmaPonte,Esgotado,482.0,17,0.0,Refil para Escova Elétrica Oral-B Flossaction 2 Unidades,0,0,0,0,0
Drogaria São Paulo,Disponível,481.0,15,7894916146067.0,Atorvastatina Cálcica 20mg Genérico Legrand 30 Comprimidos,"81,00","18,17",-77.6%,"18,17",-77.6%
Drogaria São Paulo,Disponível,480.0,14,7894916148245.0,Ezetimiba 10mg Genérico Hypermarcas 30 Comprimidos,"86,10","37,99",-55.9%,"37,99",-55.9%
FarmaPonte,Esgotado,479.0,15,0.0,Spray Knut Multiuso Amino Color  200ml,0,0,0,0,0
FarmaPonte,Esgotado,479.0,15,0.0,Aparelho de Barbea Enox Clássico 1 Unidade,0,0,0,0,0
FarmaPonte,Esgotado,477.0,13,0.0,Aparelho de Barbear Gillette Prestobarba3 Fresh com Eucalipto 4 Unidades,0,0,0,0,0
FarmaPonte,Esgotado,477.0,15,0.0,Chá Gaab Mom To Mom 30sch 45g,0,0,0,0,0
FarmaPonte,Esgotado,475.0,13,0.0,Shampoo Anticaspa Head & Shoulders Limpeza Eficaz 400ml,0,0,0,0,0
FarmaPonte,Esgotado,475.0,15,0.0,Fralda Ever Baby Pants Roupinha XXG 24 Unidades,0,0,0,0,0
FarmaPonte,Esgotado,475.0,18,0.0,Bombom de chocolate ao leite sabor com recheio de cereja sem álcool 55g - Montevergine,0,0,0,0,0
FarmaPonte,Esgotado,474.0,15,0.0,Creme Hidratante Nivea Soft 48g,0,0,0,0,0
FarmaPonte,Esgotado,474.0,15,0.0,Cera Quente em Barra Negra - Depil Bella - 500g,0,0,0,0,0
FarmaPonte,Esgotado,474.0,15,0.0,Unhas Postiças Curta Autocolante Quadrada Pintada Absolute New York Magiquick Cappuchino Brown 24 Unidades,0,0,0,0,0
FarmaPonte,Esgotado,474.0,14,0.0,Gran D 22.400UI Cristália 1 Comprimido,0,0,0,0,0
Drogaria São Paulo,Disponível,473.0,14,7897595619518.0,Januvia 25mg MSD 28 Comprimidos,"88,16","74,47",-15.5%,"74,47",-15.5%
FarmaPonte,Esgotado,473.0,14,0.0,Maxilerg 1mg/ml Cristália 5ml Solução Oftálmica,0,0,0,0,0
FarmaPonte,Esgotado,471.0,17,0.0,Barra sabor Flocos com Chocolate Chips 90g - Darkness Dark Bar,0,0,0,0,0
FarmaPonte,Esgotado,469.0,16,0.0,Bebida Ades A Base de Amêndoas Sabor Baunilha 1L,0,0,0,0,0
FarmaPonte,Esgotado,468.0,15,0.0,Bolsa Refrigerada para Transporte de Insulina Frigo Wellion,0,0,0,0,0
Drogaria São Paulo,Disponível,467.0,14,7891142981394.0,Predsim 40mg Mantecorp Farmasa 7 Comprimidos Revestidos,"69,00","69,00",-,"69,00",-
Drogaria São Paulo,Disponível,467.0,16,7896004707990.0,Prednisona 20mg Genérico Germed 10 Comprimidos,"13,22","13,22",-,"13,22",-
Drogaria São Paulo,Disponível,466.0,14,8903855086583.0,Desduo 100mg  Torrent 30 Comprimidos,"210,30","125,77",-40.2%,"125,77",-40.2%
FarmaPonte,Esgotado,466.0,14,0.0,Shampoo Johnson's Baby Cheirinho Prolongado 400ml,0,0,0,0,0
FarmaPonte,Esgotado,466.0,16,0.0,Loção Hidratante Corporal Creamy Calming 200 g,0,0,0,0,0
FarmaPonte,Esgotado,465.0,15,0.0,Kit Viagem Ever Care Compacto 1 Unidade,0,0,0,0,0
