Produto;Quantidade_Total;Frequencia_Vendas
Acetilcisteína 600mg Granulado Sabor Laranja 16 envelopes EMS Genérico;745.0;29
Babymed 1000UI/g + 400UI/g + 100mg/g, bisnaga com 45g de pomada de uso dermatológico, 3 unidades;679.0;26
Gestrelan 0,15mg + 0,03mg com 21 comprimidos;638.0;28
Enterogermina 2BCFU/5mL, caixa com 10 flaconetes com 5mL de suspensão de uso oral;596.0;24
Hederaflux 7Mg Ml, Caixa Com 1 Frasco Com 100Ml De Xarope + Copo Dosador;591.0;16
Maleato de Enalapril 10mg 30 comprimidos Cimed Genérico;589.0;27
Diclo colestiramina 70 20 l3 ems;556.0;16
Anafranil Sr 75Mg 20Cpr;556.0;17
Spray para Garganta Extrato de Mel, Própolis e Gengibre Ambroxmel Sabor Gengibre 30mL;552.0;14
Salsep 9mg/mL, caixa com 1 frasco spray com 50mL de solução de uso nasal;525.0;26
Mínima 24 Comprimidos + 4 Comprimidos Inertes;524.0;16
Floratil 100mg FQM 12 cápsulas;518.0;14
Biovicerin com 6 flaconetes de 5ml;517.0;16
Nitrendipino 10mg 30 Comprimidos;514.0;15
Ciflogex Pastilha 3mg, caixa com 12 pastilhas, sabor laranja;513.0;14
Sumaxpro 500+85mg com 2 comprimidos revestidos;513.0;16
Atenolol Sandoz 25mg, caixa com 30 comprimidos revestidos;510.0;15
Simeticona Legrand 40mg, caixa com 20 comprimidos;508.0;17
Estomazil Sem Sabor Pó Efervescente Frasco 100g;508.0;26
Diane 35 2mg + 0,035mg, caixa com 21 comprimidos revestidos;505.0;13
Loratadina Biosintética - Aché 10mg, caixa com 12 comprimidos revestidos;504.0;15
Dexclorfeniramina Beta 2Mg 20Cpr Nq;503.0;15
Enzilac 4500 FCC, caixa com 30 comprimidos mastigáveis;502.0;17
Ciconazol Loção 20mg/g, caixa com 1 frasco com 30mL de loção de uso dermatológico;502.0;16
Exodus 20mg solução oral gotas 15ml;500.0;15
Qlaira caixa com 26 comprimidos ativos + 2 comprimidos inativos;499.0;13
Lamitor Cd 25Mg 30Cpr;498.0;15
Famox Famotidina 20mg 10 comprimidos;497.0;15
Depakote ER 500mg caixa com 30 comprimidos revestidos;494.0;13
Damater Omega Frasco Com 30 Capsulas;493.0;16
Fisiogen Ferro Caixa Com 30 Capsulas;493.0;14
@ Levofloxacino 500Mg 10Cp Euro;493.0;16
Maresis 0,9  Spray Nasal Jato Forte com 100mL;491.0;16
Omeprazol 20mg Globo Genérico com 56 Cápsulas Gelatinosas Duras;490.0;14
ASPIRINA C 1X2 MORANGO EFERV;490.0;13
Drospirenona + Etinilestradiol 3Mg + 0,02Mg Nova Quimica 24 Comprimidos;487.0;16
Mioflex A 125mg + 50mg + 300mg + 30mg Cosmed 30 Comprimidos;486.0;14
Benicar 40Mg, Caixa Com 30 Comprimidos Revestidos;485.0;15
Omeprazol 20Mg 56 Cápsulas Teuto Genérico;485.0;14
Ktriz Colagenase 0,6U + Cloranfenicol 0,01Gr Pomada Com 30Gr;484.0;15
Carbocisteina 100mg Xarope Adulto 100mL Genérico;484.0;14
Antara 750Mg Com 30 Comprimidos;484.0;13
Orlistate Prati-Donaduzzi 120mg, caixa com 21 cápsulas duras;483.0;14
Cefalexina 500mg Teuto 8 Comprimidos;483.0;15
Carvedilol 12,5Mg 30Cp Med Gen;481.0;14
Deca-Durabolin 50mg ml 1 Ampola 1ml Solução de Uso Intramuscular;481.0;15
Synthroid 200mcg, caixa com 30 comprimidos;480.0;14
Besilato de Anlodipino Merck 10mg, caixa com 30 comprimidos;480.0;15
Lorazepam 2mg Teuto 30 Comprimidos;480.0;14
Diovan Valsartana 320mg 28 Comprimidos;479.0;13
Prednisolona Althaia 40mg, caixa com 7 comprimidos;479.0;14
Sibutramina 10mg 30 Cápsulas - Eurofarma;479.0;16
Ciprofibrato 100mg 30 comprimidos Biolab Genérico;477.0;15
Novalgina Comprimido 500mg, blíster com 10 comprimidos;476.0;16
@ Amoxicilina+Clav 250Mg Sus Ems;476.0;15
Hexomedine 1mg/mL + 0,5mg/mL, caixa com 1 frasco spray com 50mL de colutório de uso bucal;476.0;15
Coristina D Pro 400Mg + 4Mg + 4Mg Com 4 Comprimidos;475.0;15
Dprev 10000UI, caixa com 8 comprimidos revestidos;474.0;12
Emprol Xr 50Mg, Caixa Com 30 Comprimidos Revestidos De Liberacao Prolongada;474.0;15
Frusalt 460mg/g + 100mg/g + 440mg/g, envelope com 5g de pó efervescente de uso oral;474.0;15
Sorine 15mg, caixa contendo 1 frasco com 30mL de solução de uso nasal + 1 conta-gotas;474.0;16
Noex Budesonida 50mcg Spray Nasal 200 doses;474.0;14
Alenthus XR 150mg caixa com 30 cápsulas;473.0;14
Venlafaxina 75 30caps ems;472.0;15
Melleril 100Mg 20Drg  C1;472.0;14
@ Azitromicina 1500Mg Susp Eur;472.0;14
Gel para Pele com Rosácea Galderma Rozex 7,5mg g com 30g;472.0;15
Phitóss 7mg/mL, caixa com 1 frasco com 100mL de xarope;472.0;13
Neutrofer Folico 30Cpr;471.0;16
Pantoprazol 40Mg 28Cpr Med Gen;471.0;15
Hirudoid 5mg/g, caixa com 1 bisnaga com 40g de gel de uso dermatológico;471.0;14
Levonorgestrel Melcon 1,5Mg, Caixa Com 1 Comprimido;470.0;14
Suplemento Alimentar Ogestan Gold 30Caps;465.0;14
Fitoscar 60mg/g, caixa com 1 bisnaga com 20g de pomada de uso dermatológico;462.0;14
Maleato de Dexclorfeniramina + Betametasona Biosintética - Aché 48mg + 6mg, caixa com 1 frasco com 120mL de xarope + 1 copo medidor;462.0;15
Sonitus Melatonina 210mcg Kester 120 comprímidos;462.0;14
Expectovic 13,33mg/mL, caixa com 1 frasco com 120mL de xarope;461.0;16
ProHN 30 Capsulas;461.0;14
Dipirona Monoidratada Biosintética - Aché 500mg/mL, caixa com 1 frasco gotejador com 10mL de solução de uso oral﻿;461.0;13
Flanax 550mg, caixa com 2 comprimidos revestidos﻿;460.0;14
Xylocaina Pomada 5  25g;459.0;15
Topiramato 50mg 60 Comprimidos - Eurofarma;458.0;16
Benicar 20mg, caixa com 30 comprimidos revestidos;458.0;14
Neosoro 0,5mg/mL, caixa com 1 frasco gotejador com 30mL de solução de uso nasal;458.0;15
Sal de Frutas Eno 2 envelopes com 5g de pó efervescente de uso oral, abacaxi;457.0;15
@ Doxiciclina 100Mg 15Cpr Phar;456.0;16
Cloridrato De Donepezila 5Mg Ache, Caixa Com 30 Comprimidos Revestidos;456.0;15
Propranolol Ems 40Mg, Caixa Com 30 Comprimidos;455.0;15
Fenergan Comprimido 25Mg, Caixa Com 20 Comprimidos Revestidos;455.0;14
Gastrol 185mg + 231,5mg + 178mg, caixa com 20 pastilhas;455.0;13
Prednisona Germed Pharma 20Mg, Caixa Com 10 Comprimidos;455.0;13
MEFEX 500MG 14CPR;455.0;14
Naldecon Pack blíster com 6 comprimidos;455.0;15
Levoid 88mcg, Caixa Contendo 30 Comprimidos;455.0;14
Irbesartana 300mg + Hidroclorotiazida 12,5mg Eurofarma;454.0;13
Brilinta 90mg 60 Comprimidos AstraZeneca;454.0;16
Entresto 24Mg + 26Mg, Caixa Com 28 Comprimidos Revestidos;453.0;15
Zinpass 20mg, caixa com 30 comprimidos revestidos;453.0;14
Alektos Bilastina 20mg 15 comprimidos;453.0;13
Drospirenona 3mg + Etinilestradiol 0,03mg 21 comprimidos Neo Química Genérico;453.0;15
Hirudoid 5mg/g, caixa com 1 bisnaga com 40g de pomada de uso dermatológico;453.0;17
Vasip 20Mg 30Cpr Rev;451.0;14
Daforin 20mg 3 blísteres com 20 comprimidos revestidos;451.0;14
Alprazolam 2mg 30 Comprimidos - Bio;451.0;13
Reconter 20mg Frasco 30ml Solução de Uso Oral;451.0;14
Neocopan Composto 10mg + 250mg, caixa com 20 comprimidos revestidos;450.0;13
Myrafer 100mg ml Solução Gotas 30ml;450.0;13
Diprogenta 064 + 1mg creme bisnaga com 30g + e20;449.0;14
Flancox 400mg 20 Comprimidos Revestidos;449.0;15
Cloridrato de Ciprofloxacino 500mg Pharlab com 14 comprimidos Revestidos;449.0;14
Femina 150Mcg + 20Mcg, Caixa Contendo 21 Comprimidos Revestidos;449.0;15
Hemifumarato De Bisoprolol Merck 2,5Mg, Caixa Com 30 Comprimidos Revestidos;449.0;14
Puran T4 112Mcg 30 Comprimidos;449.0;14
Deflazacorte 30mg 10 comprimidos;448.0;15
Proctosan 0,5% + 2% + 2% + 10%, caixa com 1 bisnaga com 20g de pomada de uso retal + 6 aplicadores;447.0;14
Exforge Hct 160Mg + 25Mg + 5Mg, Caixa Com 28 Comprimidos Revestidos;447.0;15
Molieri 30mcg 21 Comprimidos;447.0;13
Zinpass + Eze 20Mg 10Mg Com 30 Comprimidos Revestidos;446.0;15
Citrato de Sildenafila Medley 50mg, caixa com 4 comprimidos revestidos﻿;446.0;15
Hemofiss 5mg/g + 20mg/g + 100mg/g + 20mg/g, bisnaga com 30g de pomada de uso retal;446.0;14
Leite De Magnesia Eno Hortela 120Ml;446.0;14
Leite De Magnesia De Phillips, Hortela, 350Ml;446.0;13
Maleato De Enalapril Nova Quimica 20Mg, Caixa Com 30 Comprimidos;445.0;16
Suplemento Probiótico Prolive caixa contendo 30 cápsulas;444.0;15
Jardiance 10Mg, Caixa Com 30 Comprimidos Revestidos;443.0;15
Alpes Xl 150Mg Com 30 Comprimidos;443.0;15
Osteonutri Medley 600mg + 400UI, caixa com 30 comprimidos revestidos;442.0;15
Novanlo 5mg 30 Comprimidos;442.0;14
Psorex Propionato de Clobetasol 0,5mg g Creme 30g;442.0;13
Tandrilax 30mg + 125mg + 50mg + 300mg, caixa contendo 30 comprimidos;442.0;17
Advil Extra 400 Mg 3 Capsula;441.0;13
Valsartana 320Mg Ache, Caixa Com 30 Comprimidos Revestidos;441.0;15
Fluxocor 20mg, caixa com 30 comprimidos revestidos;441.0;15
Mel Rosado Farmax 30mL;441.0;14
Sinot clav 875mg 20cps;441.0;13
Simbioflora 15 sachês com 6g de pó para solução de uso oral;440.0;16
Polvilho Antisséptico Granado 3,0g + 0,352g + 17,602g + 11,735g, caixa com 1 frasco com 100g de pó de uso dermatológico;440.0;15
Polaramine Creme 10Mg G, Caixa Com 1 Bisnaga Com 30G De Creme De Uso Dermatologico;440.0;13
Oxipelle 10mg/g, caixa com 1 bisnaga com 20g de creme de uso dermatológico;440.0;14
Duloxetina 30Mg 30Cap Ems;440.0;15
Inseris Xr 150Mg Com 10 Comprimidos Revestidos;440.0;14
Suplemento Urocran Cranberry 30 cápsulas;439.0;14
Pregabalina 75mg Biosintética 30 Cápsulas Duras;438.0;13
Rivotril 0,25Mg 30Cpr;438.0;14
Magnostase 2mg Neo Química 12 Comprimidos;438.0;14
Materna Nestle 30 Capsula;438.0;14
Vitamina C Resfedryl Tripla Ação 10Cpr Efervescentes;438.0;16
Biomag 15mg - 60 cápsulas;437.0;15
Disfor Artro Caixa com 30 sachês com 11,5g cada de pó para solução oral;437.0;14
Colchicina 0,5mg Geolab 30 Comprimidos;437.0;14
Levoid 100Mcg, Caixa Contendo 30 Comprimidos;436.0;15
Alenia 6mcg + 200mcg, caixa com 60 cápsulas gelatinosas duras com pó de uso inalatório﻿ (refil);436.0;13
Efexor XR 150mg 30 Cápsulas Gelatinosas Duras;436.0;14
Cloridrato de Nebivolol 5mg Biosintética 30 Comprimidos;435.0;14
Iumi ES 3mg + 0,02mg, caixa com 120 comprimidos revestidos;435.0;14
Addera D3 Capsulas 10000Ui, Caixa Com 4 Capsulas Moles;435.0;15
Grow D tutti frutti, 10mL;434.0;14
Desogestrel + Etinilestradiol Eurofarma 0,150 + 0,020Mg, Caixa Com 21 Comprimidos;434.0;13
Zider 10mg 120 Comprimidos Revestidos;434.0;15
Oto Betnovate 1 + 10 + 5mg ml solução otológica frasco gotejador com 10ml;434.0;15
Paracetamol Uniao Quimica 750Mg, Caixa Com 20 Comprimidos;434.0;15
Levotiroxina Sodica Merck 112Mcg, Caixa Com 30 Comprimidos;433.0;12
Histamin 2mg, caixa com 20 comprimidos;433.0;13
Torsilax 125mg + 50mg + 300mg + 30mg, caixa com 30 comprimidos;433.0;14
Bucliplex 30Cpr;433.0;14
Paracetamol Medquímica 750mg, caixa com 10 comprimidos;432.0;16
Pantoprazol 40 Mg 28 Comprimidos Eur;431.0;14
Decadron 5ml Colírio;431.0;15
Captopril 25mg 30 Comprimidos Genérico;431.0;14
Microvlar 0,15Mg + 0,03Mg, Caixa Com 21 Drageas;431.0;14
Zyxem Dicloridrato de Levocetirizina 5mg mL Gotas 20mL;430.0;13
Merthiolate 10Mg Ml, Caixa Com 1 Frasco Spray Com 45Ml De Solucao Aquosa De Uso Dermatologico;430.0;15
Profergan 20mg g Creme Dermatológico com 30g;430.0;13
Atenolol + Clortalidona Medley 50mg + 12,5mg, caixa com 30 comprimidos;430.0;14
Valsartana 160Mg Ache, Caixa Com 30 Comprimidos Revestidos;429.0;13
Cloridrato de Sertralina 50mg 30 Comprimidos NQ;428.0;14
Calotrat 5 Ml Galenogal;428.0;15
Rosuvastatina Calcica 10mg 30 Comprimidos Revestidos;428.0;15
Serenus 0,15mg + 0,2mg + 1,5mg, caixa com 20 comprimidos revestidos;428.0;13
Paracetamol Medquímica 200mg/mL, caixa com 1 frasco gotejador com 15mL de solução de uso oral;428.0;14
Digedrat 200Mg 30Cap;428.0;15
Domperidona Nova Quimica 10Mg, Caixa Com 60 Comprimidos;428.0;15
Cicatricure Gel 60G;427.0;15
Epocler 100mg mL + 50mg mL + 10mg mL, caixa com 6 flaconetes com 10mL de solução de uso oral;427.0;14
Olmesartana Medoxomila + Hidroclorotiazida Neo Química 20mg + 12,5mg, caixa com 30 comprimidos revestidos;426.0;13
@ Amoxicilina 875Mg 14Cpr Eur;426.0;14
Cobavital 1mg + 4mg, caixa com 16 microcomprimidos;426.0;13
Forten caixa com 10 frascos com 10mL de solução + pó para preparação de uso oral﻿;426.0;14
Bromazepam 3Mg 30Cpr Bio G;426.0;13
Depo-Provera 150Mg Ml, Caixa Com 1 Frasco Com Suspensao De Uso Intramuscular + 1 Seringa Preenchida Com 1Ml De Diluente + Agulha;426.0;13
Doril DC 500 500mg + 65mg, caixa com 16 comprimidos;425.0;13
Depomês 25mg/mL + 5mg/mL, caixa com 1 ampola com 1mL de suspensão de uso intramuscular;425.0;13
Dipimed 500Mg Ml, Caixa Com 1 Frasco Com 20Ml De Solucao De Uso Oral;425.0;14
Sinot Clav 875mg + 125mg 14 Comprimidos;424.0;13
Clenil Compositum Hfa 50Mcg Dose + 100Mcg Dose, Caixa Com 1 Aerosol Bucal Com 200 Doses De Suspensao De Uso Inalatorio + 1 Dispositivo Oral;424.0;17
Frontal 025mg caixa com 30 comprimidos;424.0;15
Cloridrato de Sibutramina - EMS 15mg caixa com 30 cápsulas;424.0;13
Pregabalina 150mg Eurofarma 30 Cápsulas;423.0;15
Ems Expector 0,4Mg Ml, + 4Mg Ml + 20Mg Ml, Caixa Com 1 Frasco Com 120Ml De Xarope + Copo Dosador;423.0;14
Elani Ciclo 3mg+0,03mg 63 Comprimidos Revestidos;423.0;14
Azukon MR 30mg, caixa com 30 comprimidos de liberação prolongada;423.0;15
Ursacol Ácido Ursodesoxicólico 300mg 30comp.;422.0;14
Fumarato Quetiapina 25 30Cp Med;422.0;14
Captopril Pharlab 50Mg, Caixa Com 30 Comprimidos;422.0;13
Metildopa Ems 500Mg, Caixa Com 30 Comprimidos Revestidos;422.0;16
Paracetamol Prati-Donaduzzi 750Mg, Blister Com 10 Comprimidos Revestidos;422.0;15
Amoxicilina 250mg União Química Frasco 150ml;422.0;15
Sulfato de Neomicina + Bacitracina Zíncica Cimed 5mg/g + 250UI/g, caixa com 1 bisnaga com 15g de pomada de uso dermatológico;422.0;13
Vitamina C Cebion Comprimido 1G, Caixa Com 10 Comprimidos Efervescentes, Sabor Laranja;422.0;13
Vitamina D Doss 2.000UI com 4 Cápsulas;422.0;14
Micardis HCT 40mg + 12,5mg 30 Comprimidos;421.0;12
Labirin 8mg 30 comprimidos;421.0;13
Tylemax Gotas 200mg 15mL;421.0;15
Fumarato de Cetotifeno Xarope 0,2mg mL Genérico Prati 120mL;421.0;14
Endofolin 5 Mg 30 Comprimidos;421.0;13
Lexotan 6mg caixa com 30 comprimidos;420.0;14
Desloratadina 0,5mg ml Xarope 100ml Aché Genérico;420.0;14
Probiatop 30 Saches Com 1G De Po Para Solucao De Uso Oral;420.0;13
Suplemento Vitaminico Centrum 60 Comprimidos;420.0;13
Trol Par 37,5Mg + 325Mg, Com 10 Comprimidos;419.0;14
Rinosoro Jet 9mg/mL, frasco spray com 100mL de solução de uso nasal;419.0;13
Dorene Tabs 75Mg 30Cpr;419.0;15
Pred 10mg/mL, caixa com 1 frasco gotejador com 5mL de solução de uso oftálmico;419.0;13
Paracetamol 500mg + Fosfato de Codeína 30mg Nova Química 12 Comprimidos;419.0;15
Scalid 100mg União Química 12 comprimidos;419.0;12
Janumet 50 1000mg com 56 Comprimidos;418.0;15
Nitazoxanida Eurofarma 20Mg Ml, Caixa Com 1 Frasco Com Po Para Suspensao De Uso Oral  Frasco Com Capacidade De 45Ml  + Seringa Dosadora;418.0;13
Minilax 714Mg G + 7,70Mg G, Caixa Com 7 Bisnagas Com 6,5G De Solucao De Uso Retal;418.0;14
Pradaxa 110mg 60 Cápsulas;418.0;15
Propilracil 100mg com 30 comprimidos;417.0;13
Cloridrato de Metformina 750mg 30 Comprimidos Prati Donaduzzi;417.0;14
Adinos 0,5Mg G, Caixa Com 1 Bisnaga Com 30G De Gel Creme De Uso Dermatologico;417.0;13
Fexx Cloridrato de Fexofenadina 120mg 10 comprimidos;416.0;15
Cetoconazol + Dipropionato de Betametasona Eurofarma 20mg/g + 0,5mg/g, caixa com 1 bisnaga com 30g de creme de uso dermatológico;416.0;16
Magnesia Bisurada 10 Comprimidos;416.0;15
Cetoprofeno 100 Mg 20 Comprimidos Med Gen;416.0;14
Cetoconazol 200mg 10 comprimidos Cimed Genérico;415.0;14
Cefalexina 500mg 10cpr uni;415.0;12
Escitalopram 15Mg 30Cpr Med;415.0;14
Lidocaína Pomada EMS 50mg/g, caixa com 1 bisnaga com 25g de pomada de uso dermatológico;415.0;13
Dividol 70mg 12 Capsulas Gelatinosas Duras A1;414.0;14
Risedross 35mg, caixa com 12 comprimidos revestidos;414.0;14
Libiam 2,5mg Libbs 28 comprimidos;414.0;14
Valsartana Neo Química 80mg, caixa com 30 comprimidos revestidos;413.0;15
Lavitan Multi 5G Homem caixa com 60 comprimidos;413.0;14
Pantogar Neo com 60 Capsulas;413.0;13
Zinco Quelato Kester 60 cápsulas;413.0;14
Tantin 0,060mg + 0,015mg, caixa com 28 comprimidos revestidos;413.0;14
Hemifumarato De Bisoprolol Medley 2,5Mg, Caixa Com 30 Comprimidos Revestidos;413.0;15
Vick Pyrena, 1 Envelope Mel E Limao;413.0;14
Hemitartarato De Zolpidem 5Mg Eurofarma, Caixa Com 30 Comprimidos Subilinguais;412.0;13
Pastilhas Drops Vick laranja com 5 unidades;412.0;15
Sal Amargo Farmax caixa com 30g de pó para solução de uso oral;412.0;13
@ Vigadexa Col 5Ml;412.0;14
Expectuss Xarope Infantil 100mL;412.0;15
Fortice Com 30 Comprimidos;412.0;12
Cálcio Mobility Os-Cal 500mg 60 comprimidos revestidos;412.0;13
Azitromicina 600mg Neo Química Pó para Preparo Extemporâneo 15ml + Diluente + Seringa Dosadora;412.0;12
Stabil 025mg caixa com 30 comprimidos;412.0;12
Doxaprost Mesilato de Doxazosina 4mg 30 Comprimidos;411.0;12
Ferrovitan Com Colina Solução Oral 60mL;411.0;14
Creme Rejuvenescedor Mantecorp Ivy C10 - 30g;411.0;15
Addera D3 Capsulas 7000UI, Caixa Com 30 Comprimidos;411.0;12
Pasalix 30 comprimidos Revestidos;411.0;13
Amoxicilina 500mg Bio 21 Cápsulas;411.0;12
Vatis Cloridrato Propafenona 150mg 90 comprimidos;411.0;15
Otrivina 1mg/mL, caixa com 1 frasco gotejador com 15mL de solução de uso nasal;411.0;14
Succinato de Desvenlafaxina 100mg EMS 30 Comprimidos Revestidos;410.0;14
Cabergolina 0,5mg Genérico Eurofarma 2 Comprimidos;410.0;13
Cebralat 50mg, caixa com 60 comprimidos;410.0;13
Strepsils 8,75mg Sabor Mel e Limão 8 Pastilhas;410.0;15
Ferripolimaltose 50mg mL Gotas 30mL Genérico Biolab;410.0;15
Fosfato Sódico de Prednisolona Vitamedic 3mg/mL, caixa com 1 frasco com 120mL de solução de uso oral + copo medidor;410.0;14
Ciflogex Colutório Spray 1,5mg/mL, caixa com 1 frasco spray com 30mL de colutório, sabor menta;410.0;12
Insunorm N 100UI/mL, caixa com 1 frasco ampola com 10mL de suspensão de uso subcutâneo;410.0;15
Simbiotil 10 sachês com 1g de pó para solução de uso oral;410.0;15
Flixotide Spray 50mcg GSK 120 doses;410.0;13
Montelair 10Mg, Caixa Contendo 30 Comprimidos Revestidos;410.0;13
Rosucor 10mg, caixa com 30 comprimidos revestidos;409.0;14
Concor 1,25Mg, Caixa Com 30 Comprimidos Revestidos;409.0;14
Frutaxx Efervecente 5G Sachê Sabor Abacaxi caixa com 50 unidades;409.0;13
Vick Pyrena, 1 Envelope Canela E Maca;409.0;13
Rosuvastatina Calcica Sanofi Medley 10Mg, Caixa Com 30 Comprimidos Revestidos;409.0;14
Centrum Select Homem 30Cp;409.0;15
