Nome da Farmácia;EAN;Nome do produto;Status do produto;Preço original;Preço PIX;Desconto PIX;Preço à vista no cartão;Desconto cartão;Subcategoria;Código do produto;URL do produto
FarmaPonte;7896112407911;Ezetimiba 10Mg 60 Comprimidos Biolab Genérico;Disponível;127,28;58,62;-53.9%;59,82;-53.0%;Redutor De Colesterol Antihipertensivo;25321;https://www.farmaponte.com.br/ezetimiba-10mg-60-comprimidos-biolab-generico/p
FarmaPonte;7908135002179;Consoni Melatonina 210mcg Kester 30ml;Disponível;52,04;45,98;-11.6%;46,92;-9.8%;Anti Histaminico E Antialergico Topico;21105;https://www.farmaponte.com.br/consoni-melatonina-gotas-30ml/p
FarmaPonte;7891158106002;Movydia Celecoxibe 200mg 10 cápsulas;Disponível;43,72;34,28;-21.6%;34,98;-20.0%;Psicotropico;25380;https://www.farmaponte.com.br/movydia-celecoxibe-200mg-10-capsulas/p
FarmaPonte;7896422512961;Cloridrato Fluoxetina Genérico Medley 20mL;Disponível;44,60;35,84;-19.6%;36,57;-18.0%;Psicotropico;24566;https://www.farmaponte.com.br/cloridrato-de-fluoxetina-gotas-com-20ml-medley-generico/p
FarmaPonte;7896714290591;Desrinite 120 Mg 10 Comprimidos;Disponível;0;25,91;0;0;0;Analgésico Antitérmico;23018;https://www.farmaponte.com.br/desrinite-120-mg-10-comprimidos/p
FarmaPonte;7896637031608;Inilok 40Mg Com 90 Comprimidos Revestidos De Liberacao Prolongada;Disponível;156,78;142,89;-8.9%;72,91;-53.5%;Antiulceroso;24132;https://www.farmaponte.com.br/inilok-40mg-com-90-comprimidos-revestidos-de-liberacao-prolongada/p
FarmaPonte;7896004777184;Cloridrato de Tramadol EMS 100mg, caixa com 10 comprimidos revestidos de liberação prolongada;Disponível;99,26;94,35;-4.9%;96,28;-3.0%;Psicotropico;26296;https://www.farmaponte.com.br/cloridrato-de-tramadol-ems-100mg-caixa-com-10-comprimidos-revestidos-de-liberacao-prolongada/p
FarmaPonte;7898907313872;Acetato de Ciproterona + Etinilestradiol Melcon 2,0 + 0,035mg com 63 Comprimidos Revestidos Aché Biosintética Genérico;Disponível;55,20;31,79;-42.4%;39,74;-28.0%;Antiacneico;12953;https://www.farmaponte.com.br/acetato-de-ciproterona-etinilestradiol-melcon-20-0035mg-caixa-com-63-comprimidos-revestidos/p
FarmaPonte;7896094209558;Velija 60mg frasco 60 cápsulas liberação retardada;Disponível;267,94;204,81;-23.6%;69,66;-74.0%;Psicotropico;19324;https://www.farmaponte.com.br/velija-60mg-60cpr/p
FarmaPonte;7898146825358;Fumarato Quetiapina 100mg Genérico 30 Comprimidos;Disponível;148,16;97,28;-34.3%;99,27;-33.0%;Psicotropico;22437;https://www.farmaponte.com.br/fumarato-quetiapina-100-30cp-biol/p
FarmaPonte;7908134200453;Slinda 4Mg Com 28 Comprimidos;Disponível;130,81;104,60;-20.0%;53,37;-59.2%;Anticoncepcional;25525;https://www.farmaponte.com.br/slinda-4mg-com-28-comprimidos/p
FarmaPonte;7896422511940;Oxcarbazepina 600Mg Medley, Caixa Com 30 Comprimidos Revestidos;Disponível;95,19;76,50;-19.6%;78,06;-18.0%;Psicotropico;19552;https://www.farmaponte.com.br/oxcarbazepina-600-30-med-g/p
FarmaPonte;7896112409861;Biolme H 40mg + 25mg Biolab 30 Comprimidos;Disponível;70,21;63,30;-9.8%;64,59;-8.0%;Anti-inflamatório;28857;https://www.farmaponte.com.br/biolme-h-40mg-25mg-biolab-30-comprimidos/p
FarmaPonte;7896658019531;Montelair Montelucaste de Sódio 4mg 30 sachês;Disponível;100,10;89,27;-10.8%;91,09;-9.0%;Antiasmático;12607;https://www.farmaponte.com.br/montelair-4mgg-caixa-com-30-saches-com-granulado-de-uso-oral/p
FarmaPonte;7896269900945;Flutivate 05mg creme dermatológico frasco com 15g;Disponível;0;55,14;0;0;0;Corticóide Tópico;18801;https://www.farmaponte.com.br/flutivate-cre-15gr/p
FarmaPonte;7896523224534;Ácido Acetilsalicilico Infantil 100mg Genérico Cimed 30 Comprimidos;Disponível;0;9,79;0;0;0;Vasodilatador Periferico;17584;https://www.farmaponte.com.br/acido-acetilsalicilico-cimed-100mg-caixa-com-30-comprimidos/p
FarmaPonte;7896212420124;Concerta 54mg frasco com 30 comprimidos;Disponível;0;341,78;0;0;0;Psicotropico;25741;https://www.farmaponte.com.br/concerta-54mg-frasco-com-30-comprimidos/p
FarmaPonte;7896026307161;Cardizem SR 120mg 20Cap;Disponível;0;62,50;0;0;0;Anti-hipertensivos;21218;https://www.farmaponte.com.br/zz-cardizem-sr-120mg-20cap/p
FarmaPonte;7898586631366;Saflutan 15mcg 30 Flaconetes;Disponível;0;132,35;0;0;0;Antiglaucomatoso;25460;https://www.farmaponte.com.br/saflutan-15mg-30fla/p
FarmaPonte;7896004731391;Carvedilol 12,5mg  30 Comprimidos Germed;Disponível;0;36,92;0;0;0;Anti-hipertensivos;23542;https://www.farmaponte.com.br/carvedilol-125mg-30cpr-ger/p
FarmaPonte;7899547528442;Levofloxacino Hemi-Hidratado 500mg 7 Comprimidos;Disponível;57,99;40,92;-29.4%;41,75;-28.0%;Antibiotico;25876;https://www.farmaponte.com.br/levofloxacino-hemi-hidratado-500mg-7-comprimidos/p
FarmaPonte;7896658048050;Suplemento Alimentar Protena Pro com 30 Cápsulas Aché;Disponível;0;47,93;0;0;0;Relaxante Muscular;25406;https://www.farmaponte.com.br/suplemento-alimentar-protena-pro-30-capsulas/p
FarmaPonte;7896523201726;Paracetamol 750mg 20 Comprimidos - Cimed;Disponível;26,25;15,44;-41.2%;15,75;-40.0%;Analgésico Antitérmico;18176;https://www.farmaponte.com.br/paracetamol-750mg-20cpr-cim/p
FarmaPonte;7908020500797;Ciproterona+Etin 2+0,035Mg 21Cpr Cif;Disponível;25,58;11,05;-56.8%;18,42;-28.0%;Antiacneico;19693;https://www.farmaponte.com.br/ciproteronaetin-20035mg-21cpr-cif/p
FarmaPonte;7896658035234;Naucloz Dicloridrato de Meclozina Monoidratada 25mg 15 comprimidos;Disponível;26,91;25,48;-5.3%;26,00;-3.4%;-;29749;https://www.farmaponte.com.br/naucloz-dicloridrato-de-meclozina-monoidratada-25mg-15-comprimidos/p
FarmaPonte;7896094918665;Gastrol Abacaxi 1 Envelope X25;Disponível;4,13;4,05;-1.9%;4,13;-0.0%;Digestivo;17277;https://www.farmaponte.com.br/gastrol-abacaxi-1env-x25/p
FarmaPonte;7893595770624;Floral Thérapi Zero Angústia - 30 Ml;Disponível;36,90;36,16;-2.0%;36,90;-0.0%;Calmante Tranquilizante;28754;https://www.farmaponte.com.br/floral-therapi-zero-angustia-30-ml/p
FarmaPonte;7891058001964;Clor Ondansetrona 4mg 10 Comprimidos Medley Genérico;Disponível;0;24,05;0;0;0;Antiemetico;26398;https://www.farmaponte.com.br/clor-ondansetrona-4mg-10-comprimidos-medley-generico/p
FarmaPonte;7896862993269;Melleril Cloridrato de Tioridazina 100mg 20 Drageas;Disponível;0;50,32;0;0;0;Psicotropico;19097;https://www.farmaponte.com.br/melleril-100mg-20drg-c1/p
FarmaPonte;7896181927594;Valsartana 320mg com 30 Comprimidos Revestidos Aché Biosintética Genérico;Disponível;70,17;46,07;-34.3%;47,01;-33.0%;Anti-hipertensivos;21653;https://www.farmaponte.com.br/valsartana-320mg-ache-caixa-com-30-comprimidos-revestidos/p
FarmaPonte;7896523201139;Rivaroxabana 20mg Cimed 30 Comprimidos Revestidos;Disponível;0;60,18;0;0;0;Anticoncepcional;22699;https://www.farmaponte.com.br/rivaroxabana-20mg-cimed-caixa-com-30-comprimidos-revestidos/p
FarmaPonte;7891317025083;Acetilcisteína 20mg mL Xarope Infantil 120mL;Disponível;35,64;27,94;-21.6%;28,51;-20.0%;Broncodilatador;24674;https://www.farmaponte.com.br/acetilcisteina-20mg-ml-xarope-infantil-120ml-eurofarma/p
FarmaPonte;7896637022729;Azulfin Sulfasalazina 500mg 60 comprimidos;Disponível;139,85;119,24;-14.7%;60,84;-56.5%;Antiulceroso;18938;https://www.farmaponte.com.br/azulfin-500mg-60cpr/p
FarmaPonte;7896181915041;Carvedilol 12,5mg com 30 Comprimidos Aché Biosintética Genérico;Disponível;50,68;38,24;-24.5%;39,02;-23.0%;Anti-hipertensivos;16164;https://www.farmaponte.com.br/carvedilol-biosintetica-125mg-caixa-com-30-comprimidos/p
FarmaPonte;7896112126171;Maleato de Enalapril 5mg Teuto 30 Comprimidos;Disponível;0;17,35;0;0;0;Anti-hipertensivos;20955;https://www.farmaponte.com.br/enalapril-5mg-30cpr-teu-gen/p
