Farmácia,Status,Total Unidades Vendidas,Frequencia_Vendas,EAN_ou_SKU,Nome_do_Produto,Preco_Tabela,Preco_Cartao_Valor,Desconto_Cartao,Preco_Pix_Valor,Desconto_Pix
SãoJoão,Indisponível,1160.0,55,0.0,Busonid Suspensão Nasal 120 Doses,0,0,0,0,0
SãoJoão,Disponível,681.0,25,7891010256715.0,TYLENOL DC MÚLTIPLAS DORES PARACETAMOL 1G + CAFEÍNA 130MG 20 COMPRIMIDOS,"24,29","24,29",-,"24,29",-
SãoJoão,Disponível,632.0,27,7795320008821.0,Vitanol-A Creme Dermatológico 30g,"50,17","44,69",-10.9%,"44,69",-10.9%
SãoJoão,Disponível,596.0,29,7896004803463.0,Naridrin Solução Nasal 15ml,"17,90","17,90",-,"17,90",-
SãoJoão,Indisponível,564.0,16,0.0,Sulfato De Neomicina 5mg/g + Bacitracina Zíncica 250UI/g Genérico Prati Pomada 15g,0,0,0,0,0
SãoJoão,Disponível,560.0,25,7896658005176.0,Transpulmin Xarope 150ml,"40,40","36,39",-9.9%,"36,39",-9.9%
SãoJoão,Disponível,550.0,16,7891142981301.0,Predsim 5mg 20 Comprimidos Mantecorp,"27,43","24,29",-11.4%,"24,29",-11.4%
SãoJoão,Disponível,539.0,26,7896094206038.0,Pomada Dermatológica Tarfic 10g,"100,52","85,19",-15.3%,"85,19",-15.3%
SãoJoão,Disponível,538.0,17,7899547527681.0,Albendazol 400mg Genérico Prati 5 Comprimidos Mastigáveis,"46,31","27,90",-39.8%,"27,90",-39.8%
SãoJoão,Disponível,538.0,15,7898906376632.0,Keflex 1G 8 Drágeas Bago,"139,14","118,69",-14.7%,"118,69",-14.7%
SãoJoão,Disponível,536.0,15,7897076911131.0,Axetil de Cefuroxima Suspensão Oral 250mg/5ml 50ml Genérico Ranbaxy,"111,00","87,99",-20.7%,"87,99",-20.7%
SãoJoão,Disponível,536.0,16,7891317014162.0,Sinot Clav 875/125mg 14 Comprimidos Revestido Eurofarma,"74,22","65,29",-12.0%,"65,29",-12.0%
SãoJoão,Disponível,535.0,14,7896637032223.0,Probians 30 Cápsulas,"135,90","135,90",-,"135,90",-
SãoJoão,Disponível,527.0,16,7896004744360.0,Fluoxetina 20mg 28 Cápsulas Genérico Cimed (C1),"69,55","55,99",-19.5%,"55,99",-19.5%
SãoJoão,Disponível,526.0,16,7896523228419.0,Praalergia 120mg 6 Comprimidos Cimed,"19,90","17,59",-11.6%,"17,59",-11.6%
SãoJoão,Disponível,523.0,13,7896641812293.0,Nesina Pio 25mg + 15mg 30 Comprimidos Revestidos Hypera,"278,62","278,62",-,"278,62",-
SãoJoão,Disponível,521.0,15,7891317421434.0,Koide 120ml Momenta,"51,78","47,09",-9.1%,"47,09",-9.1%
SãoJoão,Disponível,520.0,15,7896523209128.0,Acebrofilina 120ml Infantil Genérico Cimed,"29,49","25,09",-14.9%,"25,09",-14.9%
SãoJoão,Disponível,519.0,15,7896523201535.0,Metoprolol 50mg 30 Comprimidos Revestidos Genérico Pharlab,"62,87","35,90",-42.9%,"35,90",-42.9%
SãoJoão,Disponível,516.0,16,7891317014957.0,Hominus 2+5Mg 30 Cápsulas Dura Momenta,"162,00","162,00",-,"162,00",-
SãoJoão,Disponível,515.0,15,7891317013585.0,Venlaxin XR 75mg 60 Cápsulas Eurofarma,"167,79","167,79",-,"167,79",-
SãoJoão,Disponível,514.0,15,7896261005723.0,CataflamPro Aerossol Solução Dermatológica 85ml,"55,89","55,89",-,"55,89",-
SãoJoão,Disponível,512.0,15,7898927111045.0,Oscillococcinum 200K 6 Tubos,"98,99","98,99",-,"98,99",-
SãoJoão,Disponível,511.0,13,7896004747620.0,Aripiprazol 10mg 30 Comprimidos Genérico EMS (C1),"296,69","139,90",-52.8%,"139,90",-52.8%
SãoJoão,Disponível,511.0,15,7894916500586.0,Azi 1g 1 Comprimido Sigma Pharma,"43,82","37,49",-14.4%,"37,49",-14.4%
SãoJoão,Disponível,505.0,13,7898158693617.0,Cataflexym Gel 10mg 60g Cifarma,"17,50","17,50",-,"17,50",-
SãoJoão,Disponível,504.0,16,7897473206861.0,Levolukast 10mg/5mg 14 Comprimidos Revestidos,"144,34","89,90",-37.7%,"89,90",-37.7%
SãoJoão,Indisponível,504.0,15,0.0,Gel Reparil Mylan 100g,0,0,0,0,0
SãoJoão,Disponível,504.0,14,7896004719597.0,Amoxicilina + Clavulanato De Potássio 875mg 14 Comprimidos Revestidos Genérico Germed,"194,22","138,89",-28.5%,"138,89",-28.5%
SãoJoão,Disponível,503.0,13,7896637022569.0,Retemic 5mg 60 Comprimidos,"74,30","62,29",-16.2%,"62,29",-16.2%
SãoJoão,Disponível,502.0,15,7891317465667.0,"Selene 0,035mg/2mg 21 Comprimidos Revestidos","36,51","33,09",-9.4%,"33,09",-9.4%
SãoJoão,Disponível,501.0,15,7896004715957.0,Azitromicina 500mg 2 Comprimidos Genérico EMS,"31,56","29,49",-6.6%,"29,49",-6.6%
SãoJoão,Disponível,498.0,14,7891058060336.0,Rifaldin Aventis 300mg 6 Cápsulas,"25,87","24,19",-6.5%,"24,19",-6.5%
SãoJoão,Disponível,497.0,16,7896658035289.0,Trezor 10mg 60 Comprimidos Revestidos Aché,"81,43","67,19",-17.5%,"67,19",-17.5%
SãoJoão,Disponível,497.0,15,7896112141655.0,Colírio Teuto Solução Oftalmológica 20ml,"15,49","15,49",-,"15,49",-
SãoJoão,Disponível,496.0,13,7891317432362.0,Musculare 10mg 15 Comprimidos Revestidos,"22,70","22,70",-,"22,70",-
SãoJoão,Disponível,496.0,14,7894916505673.0,Ceclor Bd 500Mg 10 Comprimidos Revestidos Sigma Pharma,"108,09","91,59",-15.3%,"91,59",-15.3%
SãoJoão,Disponível,495.0,14,7891158104657.0,Pedialyte Plus Active 500ml Guarana Abbott,"33,90","27,12",-20.0%,"27,12",-20.0%
SãoJoão,Disponível,494.0,15,7891142982469.0,Alivium Mantecorp 400mg 20 Cápsulas,"60,26","60,26",-,"60,26",-
