int64_field_0;venda_id;nome_produto;data_venda;quantidade
37;33913;Indocid Aspen 50mg 30 Cápsulas;01-2024;
46;10813;Sinvastatina 20mg 30 Comprimidos Revestidos Genérico Novartis;01-2024;
82;65932;Floral Therapi Mais Humor 30ml;01-2024;
94;21157;Omeprazol 20mg 56 Comprimidos Genérico Nova Química;01-2024;
176;12169;Captopril 25mg Genérico Prati 30 Comprimidos;01-2024;
215;5677;Mud Oral Pom 1mg 10g Momenta;01-2024;
326;22429;Neocopan 10ml União Química;01-2024;
546;11797;Bravan HCT 160mg+12,5mg 30 Comprimidos Revestidos Aché;01-2024;
646;57721;Esc 10mg 60 Comprimidos Revestidos Eurofarma (C1);01-2024;
733;64069;Labrea Duo 10mg + 20mg 30 Comprimidos Revestidos Cristália (C1);01-2024;
764;21577;Lonium 40mg 60 Comprimidos Revestidos;01-2024;
948;35605;4Flex 30 Comprimidos;01-2024;
949;14881;Atenolol + Clortalidona 50mg + 12,5mg 30 Comprimidos Genérico EMS;01-2024;
1036;24385;Esomeprazol 20mg 14 Comprimidos Revestidos Genérico EMS;01-2024;
1107;685;Candicort Creme 30g Aché;01-2024;
1270;15097;Ivahart 5mg 60 comprimidos revestidos Torrent;01-2024;
1271;47029;Meritor 2+1000mg 30 Comprimidos Revestidos Aché;01-2024;
1288;28873;Tylenol 500mg 20 Comprimidos Revestidos;01-2024;
1448;73;Maleato De Dexclorfeniramina 10mg/g Genérico EMS Creme Dermatológico 30g;01-2024;
1480;15577;Carvedilol 25mg 30 Comprimidos Genérico Medley;01-2024;
1509;62161;Frontal XR Upjohn 0,5mg 30 Comprimidos (B1);01-2024;
1592;16261;Espironolactona 25mg 30 Comprimidos Genérico Germed;01-2024;
1596;14569;Aldactone 25mg 30 Comprimidos Pfizer;01-2024;
1702;54949;Albendazol Suspensão Oral 40mg/ml 10ml Genérico EMS;01-2024;
1755;37261;Natifa Pro UBD 28 Comprimidos Revestidos Libbs;01-2024;
1762;32017;Dermomax Creme 4% 5g Ache;01-2024;
1907;10465;Ultibro 110+50Mcg 30 Cápsulas+Inalador Novartis;01-2024;
1948;5065;Deflaimmun 7,5mg 20 Comprimidos Sigma Pharma;01-2024;
1959;32317;Algicod 500+30mg 36 Comprimidos Momenta (A2);01-2024;
2041;2197;Levolukast 10mg/5mg 7 Comprimidos Revestidos;01-2024;
2060;3697;Amoxicilina + Clavulanato De Potássio 875mg 14 Comprimidos Revestidos Genérico Ranbaxy;01-2024;
2076;41845;Rinosoro SIC Spray Nasal 50ml;01-2024;
2095;10945;Plenance 10mg 90 Comprimidos Revestidos;01-2024;
2172;23005;Floratil 250mg em Pó 10 Envelopes;01-2024;
2216;26965;Dipirona 1g 20 Comprimidos Genérico Prati;01-2024;
2316;15277;Trezete 5+10mg 30 Comprimidos Revestidos Aché;01-2024;
2367;71462;Omeprazol 20mg 28 Cápsulas Genérico Teuto;01-2024;
2379;11941;Pressat 5mg 90 Comprimidos Biolab;01-2024;
2422;30889;Lisador Dip 1g 4 Comprimidos Farmasa AV*;01-2024;
2499;5833;Betatrinta 6 Ampolas 1ml Injetável Eurofarma;01-2024;
2503;29737;Fisiocrem Active 30ml;01-2024;
2515;1921;Clavulin BD 875mg 14 Comprimidos Revestidos;01-2024;
2600;8665;Momate 50mcg 120 Doses Glenmark;01-2024;
2703;4477;Pomada Kollagenase Com Cloranfenicol 30G Cristalia;01-2024;
2717;29377;Traumeel S 10 Ampolas Heel;01-2024;
2718;19765;Cronocor 25mg 30 Comprimidos Biolab;01-2024;
