Produto;Quantidade_Total;Frequencia_Vendas
Busonid Suspensão Nasal 120 Doses;1160.0;55
TYLENOL DC MÚLTIPLAS DORES PARACETAMOL 1G + CAFEÍNA 130MG 20 COMPRIMIDOS;681.0;25
Vitanol-A Creme Dermatológico 30g;632.0;27
Naridrin Solução Nasal 15ml;596.0;29
Sulfato De Neomicina 5mg/g + Bacitracina Zíncica 250UI/g Genérico Prati Pomada 15g;564.0;16
Transpulmin Xarope 150ml;560.0;25
Predsim 5mg 20 Comprimidos Mantecorp;550.0;16
Pomada Dermatológica Tarfic 10g;539.0;26
Albendazol 400mg Genérico Prati 5 Comprimidos Mastigáveis;538.0;17
Keflex 1G 8 Drágeas Bago;538.0;15
Axetil de Cefuroxima Suspensão Oral 250mg/5ml 50ml Genérico Ranbaxy;536.0;15
Sinot Clav 875/125mg 14 Comprimidos Revestido Eurofarma;536.0;16
Probians 30 Cápsulas;535.0;14
Fluoxetina 20mg 28 Cápsulas Genérico Cimed (C1);527.0;16
Praalergia 120mg 6 Comprimidos Cimed;526.0;16
Nesina Pio 25mg + 15mg 30 Comprimidos Revestidos Hypera;523.0;13
Koide 120ml Momenta;521.0;15
Acebrofilina 120ml Infantil Genérico Cimed;520.0;15
Metoprolol 50mg 30 Comprimidos Revestidos Genérico Pharlab;519.0;15
Hominus 2+5Mg 30 Cápsulas Dura Momenta;516.0;16
Venlaxin XR 75mg 60 Cápsulas Eurofarma;515.0;15
CataflamPro Aerossol Solução Dermatológica 85ml;514.0;15
Oscillococcinum 200K 6 Tubos;512.0;15
Aripiprazol 10mg 30 Comprimidos Genérico EMS (C1);511.0;13
Azi 1g 1 Comprimido Sigma Pharma;511.0;15
Cataflexym Gel 10mg 60g Cifarma;505.0;13
Levolukast 10mg/5mg 14 Comprimidos Revestidos;504.0;16
Gel Reparil Mylan 100g;504.0;15
Amoxicilina + Clavulanato De Potássio 875mg 14 Comprimidos Revestidos Genérico Germed;504.0;14
Retemic 5mg 60 Comprimidos;503.0;13
Selene 0,035mg/2mg 21 Comprimidos Revestidos;502.0;15
Azitromicina 500mg 2 Comprimidos Genérico EMS;501.0;15
Rifaldin Aventis 300mg 6 Cápsulas;498.0;14
Trezor 10mg 60 Comprimidos Revestidos Aché;497.0;16
Colírio Teuto Solução Oftalmológica 20ml;497.0;15
Musculare 10mg 15 Comprimidos Revestidos;496.0;13
Ceclor Bd 500Mg 10 Comprimidos Revestidos Sigma Pharma;496.0;14
Pedialyte Plus Active 500ml Guarana Abbott;495.0;14
Alivium Mantecorp 400mg 20 Cápsulas;494.0;15
Dorflex UNO Analgésico Contra Enxaqueca Dipirona Monoidratada 1g 10 Comprimidos;492.0;14
