Nome da Farmácia;EAN;Nome do produto;Status do produto;Preço original;Preço PIX;Desconto PIX;Preço à vista no cartão;Desconto cartão;Subcategoria;Código do produto;URL do produto
SãoJoão;7896004756622;Dipirona Sódica 500mg 30 Comprimidos Genérico Germed;Disponível;24,45;14,90;-39.1%;14,90;-39.1%;Analgésicos;1261127;https://lojavtex.saojoaofarmacias.com.br/dipirona-sodica-500mg-30-comprimidos-generico-germed-10046283/p
SãoJoão;7896094930858;Neosaldina Muscular Max Analgésico e Relaxante Muscular Dipirona 4 Comprimidos Hypera Pharma;Disponível;8,73;8,73;-;8,73;-;Analgésicos;1258844;https://lojavtex.saojoaofarmacias.com.br/neosaldina-muscular-max-analgesico-e-relaxante-muscular-dipirona-4-comprimidos-hypera-pharma-10044740/p
SãoJoão;7896094930308;Enzima Lactase Gastrol Digest Lactose 10 000U FCC 8 Cápsulas Mastigáveis;Disponível;19,99;14,99;-25.0%;14,99;-25.0%;Estômago E Gastrointestinais;1256861;https://lojavtex.saojoaofarmacias.com.br/enzima-lactase-gastrol-digest-lactose-10-000u-fcc-8-capsulas-mastigaveis-10042444/p
SãoJoão;7896523212524;Dimetigass Simeticona 75mg Solução Oral 15ml Cimed;Disponível;8,99;8,99;-;8,99;-;Estômago E Gastrointestinais;1253958;https://lojavtex.saojoaofarmacias.com.br/dimetigass-simeticona-75mg-solucao-oral-15ml-cimed-10038587/p
SãoJoão;7897595605429;Atenolol 50mg 60 Comprimidos Revestidos Genérico Sandoz;Disponível;28,80;11,99;-58.4%;11,99;-58.4%;Cardiológicos;1253911;https://lojavtex.saojoaofarmacias.com.br/atenolol-50mg-60-comprimidos-revestidos-generico-sandoz-100021920/p
SãoJoão;7899620913776;Paracetamol 750mg 20 Comprimidos Genérico Globo;Disponível;22,00;8,59;-61.0%;8,59;-61.0%;Analgésicos;1252523;https://lojavtex.saojoaofarmacias.com.br/paracetamol-750mg-20-comprimidos-generico-globo-10040354/p
SãoJoão;7898031310211;Leite de Magnésia 120ml Uniphar;Disponível;9,90;9,90;-;9,90;-;Estômago E Gastrointestinais;1251986;https://lojavtex.saojoaofarmacias.com.br/leite-de-magnesia-120ml-uniphar-10039058/p
SãoJoão;7898031310303;Bicarbonato De Sódio 100g;Disponível;6,49;6,49;-;6,49;-;Estômago E Gastrointestinais;1251846;https://lojavtex.saojoaofarmacias.com.br/bicarbonato-de-sodio-100g-10039048/p
SãoJoão;7898031312352;Permanganato de Potássio 1 envelope 10 doses Uniphar;Disponível;5,49;5,49;-;5,49;-;Pele E Mucosa;1251663;https://lojavtex.saojoaofarmacias.com.br/permanganato-de-potassio-1-envelope-10-doses-uniphar-10039053/p
SãoJoão;7896523201665;Ibuprofeno 400mg 10 Cápsulas  Genérico Cimed;Disponível;21,91;13,49;-38.4%;13,49;-38.4%;Anti-inflamatórios;1249961;https://lojavtex.saojoaofarmacias.com.br/ibuprofeno-400mg-10-capsulas--generico-cimed-10035979/p
