Farmácia,Status,Total Unidades Vendidas,Frequencia_Vendas,EAN_ou_SKU,Nome_do_Produto,Preco_Tabela,Preco_Cartao_Valor,Desconto_Cartao,Preco_Pix_Valor,Desconto_Pix
SãoPaulo,Disponível,743.0,29,7898946495065,Algodão Hidrófilo Ever Care 25g,"6,99","6,29",-10.0%,"6,29",-10.0%
SaoPaulo,Indisponível,615.0,16,0,Océane Retouch My Glam - Pó Translúcido 8g,0,0,0,0,0
SãoPaulo,Disponível,612.0,26,7898946495065,Algodão Hidrófilo Ever Care 50g,"6,99","6,29",-10.0%,"6,29",-10.0%
SaoPaulo,Indisponível,606.0,25,0,Grampo Para Cabelo Loiro Número 7 Corpus,0,0,0,0,0
SãoPaulo,Disponível,600.0,24,7908271302348,Algodão Hidrófilo Ever Care 500g,"29,99","26,99",-10.0%,"26,99",-10.0%
SãoPaulo,Disponível,596.0,15,7896006209027,Baclon 10mg União Química 20 comprimidos,"27,03","16,03",-40.7%,"16,03",-40.7%
SãoPaulo,Disponível,577.0,17,7896226506388,Prolopa 200mg + 50mg Roche 30 Comprimidos,"131,38","101,99",-22.4%,"101,99",-22.4%
SãoPaulo,Disponível,575.0,16,7897076909077,Cloridrato Tizanidina 2mg Genérico Ranbaxy 30 Comprimidos,"42,46","36,74",-13.5%,"36,74",-13.5%
SaoPaulo,Indisponível,548.0,15,0,Perfume Miss Gabriela Sabatini Eau de Toilette 30ml,0,0,0,0,0
SãoPaulo,Disponível,545.0,15,7896181907176,Busonid 50mcg/dose Aché 6ml 120 Doses Solução Nasal,"47,24","37,59",-20.4%,"37,59",-20.4%
SãoPaulo,Disponível,538.0,15,8720689007160,Bico Para Mamadeira Philips Avent Pétala Número 4 6+M 2 Unidades,"49,90","49,90",-,"49,90",-
SaoPaulo,Indisponível,531.0,15,0,Base Líquida Matte Eudora Niina Secrets Daily Tint Cream Cor 48 25 ml,0,0,0,0,0
SãoPaulo,Disponível,529.0,15,7896004720746,Amoxicilina 400mg/5ml + Clavulanato de Potássio 57mg/5ml Genérico EMS 70ml Suspensão Oral,"96,23","39,99",-58.4%,"39,99",-58.4%
SaoPaulo,Indisponível,529.0,18,0,Óleo Corporal Infantil Cheirinho De Bebê Amêndoas Suave 140ml,0,0,0,0,0
SaoPaulo,Indisponível,527.0,16,0,Máscara Capilar Aussie Non Stop Hydratation Tratamento Intensivo 270ml,0,0,0,0,0
SaoPaulo,Indisponível,525.0,15,0,"Actifedrin 2,5mg + 60mg Farmoquímica 20 Comprimidos",0,0,0,0,0
SãoPaulo,Disponível,521.0,16,7898158693693,Varicoss 15mg + 90mg Cifarma 60 Drágeas,"46,08","32,99",-28.4%,"32,99",-28.4%
SaoPaulo,Indisponível,520.0,18,0,Catharine Hill Angel Wings by Pri Lessa  - Base Alta Cobertura  40ml - A5,0,0,0,0,0
SaoPaulo,Indisponível,519.0,24,0,Kit Miss Frandy - Cílios Postiços com 10 Pares,0,0,0,0,0
SaoPaulo,Indisponível,519.0,13,0,Pincel Para Iluminador - Shimmer Brush Ocn6 Océane - Pincel Para Iluminador - Shimmer Brush Ocn6 Indefinido,0,0,0,0,0
SãoPaulo,Disponível,517.0,15,7896007200788,Preservativo Blowtex Efeito Retardante 9 Unidades,"23,59","18,54",-21.4%,"18,54",-21.4%
SãoPaulo,Disponível,517.0,14,7891268148831,"Concor HCT 5mg + 12,5mg Merck 30 Comprimidos","191,72","182,20",-5.0%,"182,20",-5.0%
SaoPaulo,Indisponível,515.0,15,0,Escova de Cabelo Ricca Shower Flex Turquesa 1 Unidade,0,0,0,0,0
SãoPaulo,Disponível,514.0,13,7896714215976,Ciprofibrato 100mg Genérico Neo Química 30 Comprimidos,"82,95","31,99",-61.4%,"31,99",-61.4%
SãoPaulo,Disponível,514.0,14,7896181907534,Valsed 100mg Cifarma 20 Comprimidos,"93,67","87,11",-7.0%,"87,11",-7.0%
SãoPaulo,Disponível,512.0,13,7897595609816,Sinvastatina 10mg Genérico Sandoz 30 Comprimidos Revestidos,"26,18","10,48",-60.0%,"10,48",-60.0%
SaoPaulo,Indisponível,510.0,17,0,Minoxidil 5% com biotina 120ml,0,0,0,0,0
SãoPaulo,Disponível,510.0,17,7897076906038,Oxcarbazepina 300mg Genérico Ranbaxy 60 Comprimidos,"98,50","74,24",-24.6%,"74,24",-24.6%
SãoPaulo,Disponível,510.0,14,7899551303868,Cloridrato de Nebivolol 5mg Genérico Biolab 30 Comprimidos,"56,63","42,99",-24.1%,"42,99",-24.1%
SaoPaulo,Indisponível,507.0,15,0,Bolinha Para Massagem Corporal Incoterm,0,0,0,0,0
SãoPaulo,Disponível,507.0,16,7896311710300,Barra De Proteína Crisp Bar Doce de Coco 1 Unidade,"12,99","12,99",-,"12,99",-
SaoPaulo,Indisponível,507.0,14,0,Geleia de morango 270g - Delicassis,0,0,0,0,0
