Nome da Farmácia;EAN;Nome do produto;Status do produto;Preço original;Preço PIX;Desconto PIX;Preço à vista no cartão;Desconto cartão;Subcategoria;Código do produto;URL do produto
SãoPaulo;7896523227184;Omeprazol 20mg Genérico Cimed 28 Cápsulas;Disponível;28,01;12,99;-53.6%;12,99;-53.6%;Medicamentos;684325;https://www.drogariasaopaulo.com.br/omeprazol-20mg-generico-cimed-28-capsulas/p
SãoPaulo;7896658002076;Levoid Levotiroxina Sódica 38mcg 30 Comprimidos;Disponível;12,26;11,47;-6.4%;11,47;-6.4%;Medicamentos;221430;https://www.drogariasaopaulo.com.br/levoid-38mcg-ache-30-comprimidos/p
SãoPaulo;7891000258590;Fórmula Infantil Ninho Nutrigold 800g;Disponível;61,99;61,99;-;61,99;-;Leite;666416;https://www.drogariasaopaulo.com.br/composto-lacteo-ninho-nutrigold-800gr-nestle-brasil/p
SãoPaulo;7894916500548;Neutrofer Glicinato Férrico 150mg 30 Comprimidos;Disponível;35,76;33,59;-6.1%;33,59;-6.1%;Medicamentos;269069;https://www.drogariasaopaulo.com.br/neutrofer-150mg-ems-30-comprimidos/p
SãoPaulo;7908271300283;Atadura Ever Care Crepom 10cm 1 Unidade;Disponível;6,99;6,29;-10.0%;6,29;-10.0%;Atadura;696625;https://www.drogariasaopaulo.com.br/atadura-ever-care-crepom-10cm-1-unidade/p
SãoPaulo;041333001029;Pilha Alcalina Duracell AA Pequena 4 Unidades;Disponível;32,90;32,90;-;32,90;-;Pilha;209015;https://www.drogariasaopaulo.com.br/pilha-alcalina-duracell-aa-pequena-4-unidades--/p
SãoPaulo;7896018700383;Colônia Huggies Extra Suave para bebê 100ml;Disponível;19,99;15,99;-20.0%;15,99;-20.0%;Colônia;174220;https://www.drogariasaopaulo.com.br/colonia-turma-da-monica-huggies-infantil-100ml/p
SãoPaulo;7891142204547;Loção Hidratante Hydraporin AI 120g;Disponível;89,99;69,99;-22.2%;69,99;-22.2%;Dermocosméticos/Hidratante;675849;https://www.drogariasaopaulo.com.br/hydraporin-lc-120g-hypermarcas/p
SãoPaulo;7891033718597;Protetor Solar Corporal Australian Gold Spray FPS 8 125ml;Disponível;49,59;44,74;-9.8%;44,74;-9.8%;Protetor Solar;645141;https://www.drogariasaopaulo.com.br/protetor-solar-australian-gold-corporal-spray-fps-8-125g-frajo/p
SãoPaulo;7898946495096;Soro Fisiológico Ever Care 500ml;Disponível;9,99;7,99;-20.0%;7,99;-20.0%;Soro Fisiológico;656240;https://www.drogariasaopaulo.com.br/soro-fisiologico-ever-500ml-farmax-med/p
SãoPaulo;7898596912875;Teste COVID-19 Antígeno Pambio Igge e Igm;Disponível;79,90;79,90;-;79,90;-;Teste;732273;https://www.drogariasaopaulo.com.br/teste-rapido-de-covid-19-pambio-igg-e-igm-kit-com-25un/p
SãoPaulo;7891721201660;Glivance XR Cloridrato de Metformina 500mg + Gliclazida 30mg 60 Comprimidos;Disponível;114,79;99,98;-12.9%;99,98;-12.9%;Medicamentos;678074;https://www.drogariasaopaulo.com.br/glivance-xr-500mg--30mg-merck-60-comprimidos/p
SãoPaulo;7896641813405;FiberNorm Mix de 7 Fibras 225g;Disponível;149,99;149,99;-;149,99;-;Fibra Alimentar;614890;https://www.drogariasaopaulo.com.br/fibernorm-225g-takeda/p
SãoPaulo;7899706171434;Gel De Limpeza Facial La Roche-Posay Effaclar Peles Oleosas e Sensíveis 300g;Disponível;109,99;72,81;-33.8%;72,81;-33.8%;Dermocosméticos/Gel;685836;https://www.drogariasaopaulo.com.br/gel-de-limpeza-suave-facial-la-roche-posay-effaclar-alta-to-loreal-brasil/p
SãoPaulo;7891033718665;Protetor Solar Corporal Australian Gold Spray FPS 30 237ml;Disponível;84,59;75,98;-10.2%;75,98;-10.2%;Protetor Solar;645087;https://www.drogariasaopaulo.com.br/protetor-solar-australian-gold-corporal-spray-fps-30-237g-frajo/p
SãoPaulo;7896067201398;Pilha Alcalina Panasonic AAA 4 Unidades;Disponível;31,99;31,99;-;31,99;-;Pilha;698792;https://www.drogariasaopaulo.com.br/pilha-alcalina-panasonic-aaa-4-unidades/p
SãoPaulo;7896658017704;Axonium Olanzapina 10mg 30 Comprimidos;Disponível;164,99;149,99;-9.1%;149,99;-9.1%;Medicamentos;376116;https://www.drogariasaopaulo.com.br/axonium-10mg-30-comprimidos/p
SãoPaulo;7899706134132;Protetor Solar Corporal Vichy FPS 50 Idéal Soleil Hydrasoft 200ml;Disponível;146,99;136,99;-6.8%;136,99;-6.8%;Dermocosméticos/Protetor Solar;579947;https://www.drogariasaopaulo.com.br/protetor-solar-vichy-ideal-soleil-hidratacao-fps-50-200ml/p
SãoPaulo;7500435145152;Pasta de Dente Oral-B Kids Spiderman 50g;Disponível;11,99;9,49;-20.9%;9,49;-20.9%;Pasta de Dente;703036;https://www.drogariasaopaulo.com.br/creme-dental-oral-b-kids-spiderman-50g/p
SãoPaulo;7896094921849;Creme Corporal Venalot 240ml;Disponível;78,99;76,99;-2.5%;76,99;-2.5%;Dermocosméticos/Creme;682047;https://www.drogariasaopaulo.com.br/creme-corporal-venalot-cosm-240ml-takeda/p
SãoPaulo;4005808310999;Loção Hidratante Nivea Lotion Express 48h Hidratação Profunda 200ml;Disponível;20,99;20,26;-3.5%;20,26;-3.5%;Hidratante;105791;https://www.drogariasaopaulo.com.br/locao-hidratante-nivea-lotion-express-200ml/p
SãoPaulo;7501001165321;Condicionador Pantene Cachos Hidra-Vitaminados 400ml;Disponível;39,99;32,59;-18.5%;32,59;-18.5%;Condicionador;630446;https://www.drogariasaopaulo.com.br/condicionador-pantene-cachos-hidra-vitaminados-400ml/p
