Farmácia,Status,Total Unidades Vendidas,Frequencia_Vendas,EAN_ou_SKU,Nome_do_Produto,Preco_Tabela,Preco_Cartao_Valor,Desconto_Cartao,Preco_Pix_Valor,Desconto_Pix
VeraCruz,Disponível,582.0,15,7896241270363,"Drenison 0,125mg/g Creme 30g","47,86","42,12",-12.0%,"40,01",-16.4%
VeraCruz,Disponível,578.0,16,7898616360303,Glargilin 100ui/ml 1 caneta descartável preenchida com 3ml de solução injetável,"76,63","67,43",-12.0%,"64,06",-16.4%
VeraCruz,Disponível,555.0,16,7896094210714,Naprix 5mg 90 comprimidos,"188,01","69,57",-63.0%,"132,17",-29.7%
VeraCruz,Disponível,546.0,16,7896714290515,"Fluidificante Nasal Neosoro 0,9% Fluid Spray 50ml",0,0,0,0,0
VeraCruz,Disponível,541.0,15,7896523200576,Cimegripe 20 cápsulas,"29,43","10,90",-63.0%,"10,36",-64.8%
VeraCruz,Disponível,541.0,17,7892953000182,"OSTEOTEC - 150mg, 1 comprimido revestido",0,0,0,0,0
VeraCruz,Disponível,536.0,17,7896331702057,Calotrat Hertz Solução 5ml,"17,90","15,39",-14.0%,"14,62",-18.3%
VeraCruz,Disponível,536.0,15,7898430192067,"Suplemento Vitamínico Unizinco 17,60mg/ml Sabor Tutti Frutti 100ml","34,74","31,27",-10.0%,"29,71",-14.5%
VeraCruz,Disponível,533.0,15,7896112104070,Venaflon 900mg + 100mg 60 comprimidos,"270,29","54,06",-80.0%,"102,71",-62.0%
VeraCruz,Disponível,531.0,15,7896658023323,Montelair 4mg Sabor Cereja 30 comprimidos mastigáveis,"78,90","65,49",-17.0%,"62,22",-21.1%
VeraCruz,Disponível,521.0,15,7896004726724,Hormoskin Creme Dermatológico 15g,"100,48","94,45",-6.0%,"89,73",-10.7%
VeraCruz,Disponível,508.0,14,7896658018992,Esalerg 5mg 10 comprimidos revestidos,"70,48","61,32",-13.0%,"58,25",-17.4%
VeraCruz,Disponível,507.0,16,7896112407881,DTN-fol 400mcg + 10mg 90 cápsulas moles,0,0,0,0,0
VeraCruz,Disponível,505.0,16,7892953001745,Flodin Duo 150mg 10 comprimidos de liberação controlada,0,0,0,0,0
VeraCruz,Disponível,503.0,16,7896230301283,Óleo Mineral ADV Farma 100% Puro 100ml,"14,90","12,67",-15.0%,"12,04",-19.2%
VeraCruz,Disponível,501.0,14,7896714292137,Pepsamar Sabor Menta 10 comprimidos mastigáveis,"9,00","8,37",-7.0%,"7,95",-11.7%
