Produto;Quantidade_Total;Frequencia_Vendas
Drenison 0,125mg/g Creme 30g;582.0;15
Glargilin 100ui/ml 1 caneta descartável preenchida com 3ml de solução injetável;578.0;16
Naprix 5mg 90 comprimidos;555.0;16
Fluidificante Nasal Neosoro 0,9% Fluid Spray 50ml;546.0;16
Cimegripe 20 cápsulas;541.0;15
OSTEOTEC - 150mg, 1 comprimido revestido;541.0;17
Calotrat Hertz Solução 5ml;536.0;17
Suplemento Vitamínico Unizinco 17,60mg/ml Sabor Tutti Frutti 100ml;536.0;15
Venaflon 900mg + 100mg 60 comprimidos;533.0;15
Montelair 4mg Sabor Cereja 30 comprimidos mastigáveis;531.0;15
Hormoskin Creme Dermatológico 15g;521.0;15
Esalerg 5mg 10 comprimidos revestidos;508.0;14
DTN-fol 400mcg + 10mg 90 cápsulas moles;507.0;16
Flodin Duo 150mg 10 comprimidos de liberação controlada;505.0;16
Óleo Mineral ADV Farma 100% Puro 100ml;503.0;16
Pepsamar Sabor Menta 10 comprimidos mastigáveis;501.0;14
Diamicron MR 60mg 60 comprimidos de liberação prolongada;500.0;15
Tâmisa 30 75mcg + 30mcg 21 drágeas;499.0;15
Concor 1,25mg 30 comprimidos revestidos;497.0;15
Gyno - Icaden 10mg/g Creme Vaginal 40g + 7 aplicadores;495.0;13
Bálsamo Bengué Aerossol 85ml;493.0;13
Neutrofer 500mg 30 comprimidos revestidos;493.0;14
Spidufen 1155mg Sabor Damasco com 10 Envelopes de 3g cada;490.0;14
Laxol Sabor Hortelã 60ml;490.0;13
Icaden 10mg/g Creme Dermatológico 20g;490.0;14
Pastilhas para Garganta Strepsils Sabor Mel e Limão 8 pastilhas;485.0;15
Emla 5%  Creme 5g + 2 bandagens oclusivas;482.0;16
Suplemento Vitamínico Imunoglucan DS Sabor Tutti-Frutti 150ml;479.0;14
Cordarex 10mg 30 comprimidos;479.0;15
Resfenol Xarope Sabor Laranja 100ml;475.0;14
Doxaprost 4mg 30 comprimidos;473.0;15
Capy Solução Capilar 50mg/ml 2 frascos de 50ml cada;472.0;16
Retemic 5mg 30 comprimidos;470.0;14
Feminique Conti 3mg + 0,03mg 28 comprimidos;470.0;14
Loratadina 1mg/ml, Cimed 100ml;467.0;15
Pyridium 100mg 25 Drágeas;467.0;15
Mirtax 5mg 30 comprimidos revestidos;466.0;13
Stanglit 15mg 30 comprimidos;465.0;14
Vonau Flash 8mg, Sabor Menta 10 comprimidos de desintegração oral;465.0;15
Mesacol 250mg 15 supositórios;464.0;16
Singulair 10mg 30 comprimidos;463.0;16
Doss Zinco 2000UI + 20mg 60 cápsulas gelatinosas moles;460.0;14
Bravan Duo 160mg/5mg 30 comprimidos;459.0;14
Siblima 60mcg + 15mcg 24 comprimidos revestidos;459.0;14
Piemonte10mg 30 comprimidos revestidos;458.0;14
Vitamina D3 Addera D3 50.000UI 10 comprimidos revestidos;458.0;14
Calicida Solução ADV 10ml;457.0;15
Cefalium One 750mg 20 Comprimidos;457.0;13
Loxonin 60mg 30 comprimidos;457.0;15
Microdiol 150mcg + 30mcg 21 comprimidos;456.0;14
Imunoflan 307,39mg/ml Xarope 120ml;455.0;13
Propranolol 10mg 30 comprimidos;455.0;14
Iziz 2,5mg + 1,5mg 28 Comprimidos Revestidos;454.0;16
Press Plus 2,5mg + 10mg 30 cápsulas;454.0;15
Unoprost 2mg 30 comprimidos;453.0;16
Funtyl 250mg 14 comprimidos;453.0;16
Nesina Met* 12,5mg + 1000mg 60 comprimidos revestidos;452.0;15
Dermosalic 0,5mg/ml + 20,0mg/ml 30ml;452.0;14
Tâmisa 30 Sem Parar 75mcg + 30mcg 28 drágeas;452.0;13
Endofolin 5mg 30 comprimidos revestidos;451.0;14
Tanakan 120mg 30 comprimidos revestidos;450.0;15
Decongex Plus 4 comprimidos;449.0;15
Euthyrox 200mcg 50 comprimidos;449.0;16
Zyloric 100mg 30 comprimidos;448.0;15
Leite de Magnésia 80mg/ml Sem Sabor 120ml;448.0;13
Diovan 160mg 28 comprimidos revestidos;448.0;14
Neosaldina 4 drágeas;447.0;13
DERMOMAX - 40mg/g 1 bisnaga com 5g de creme de uso dermatológico;447.0;14
Solução Oftálmica Simbrinza 10mg/ml + 2mg/ml 8ml;445.0;15
Primera 20 150mcg + 20mcg 63 comprimidos;445.0;14
Prostatal 160mg 30 cápsulas moles;444.0;14
Tamiflu 75mg 10 cápsulas;444.0;15
Salonpas Air Aerosol 80ml;443.0;14
Loratamed 10mg Cimed 12 comprimidos;443.0;16
Predsim 5mg 20 comprimidos;443.0;13
Diosmin 450mg + 50mg 30 comprimidos revestidos;442.0;13
ARCALION - 200mg, 60 drágeas;441.0;14
Floralyte 45 Sabor Guaraná 500ml;441.0;14
Ondif 8mg 10 filmes;441.0;13
Neutrofer Fólico 150mg + 5mg 30 comprimidos revestidos;441.0;13
Torsilax Neo Química 30 comprimidos;441.0;14
Vastarel MR 35mg 60 comprimidos de liberação prolongada;440.0;14
Lonium 40mg 60 comprimidos revestidos;440.0;14
Zinpass 10mg 30 comprimidos revestidos;440.0;14
Cutisanol 3mg/g + 1,5mg/g + 93,33mg/g Pó 150g;440.0;14
Embo 2,5mg 20 comprimidos revestidos;439.0;14
Tecnomet 2,5mg 20 comprimidos;439.0;14
Lotar 5mg + 50mg 30 cápsulas;439.0;13
Miosan 5mg 10 comprimidos revestidos;438.0;13
Condroflex 1,5g + 1,2g 30 sachês com pó para solução oral;438.0;15
Somalgin Cardio 200mg 32 comprimidos revestidos de dupla camada;438.0;14
Lactosil 10.000 FCC contém 30 Sachês 2g cada;437.0;14
Lisador Dip 1g 8 comprimidos;436.0;13
Neocopan Composto Gotas 10ml;435.0;14
Analgésico Tylenol 500mg 20 comprimidos revestidos;435.0;16
Valtrex 500mg 42 comprimidos revestidos;434.0;14
Cefaliv Aché 12 comprimidos;434.0;15
Ecasil 81 81mg 90 comprimidos revestidos;434.0;16
Doril Enxaqueca 4 comprimidos revestidos;434.0;16
Rosucor 10mg 30 comprimidos revestidos;433.0;14
Maxsulid 400mg 10 Comprimidos;432.0;16
Xafac 2,5mg 30 comprimidos;432.0;15
Glifage XR 850mg 30 comprimidos de liberação prolongada;432.0;14
Domped 5ml/ml Gotas 20ml;432.0;15
Adinos 0,5mg/g Gel Creme 15g;432.0;13
Pomada Dermatológico Nebacetin 15g;431.0;14
