Nome da Farmácia;EAN;Nome do produto;Status do produto;Preço original;Preço PIX;Desconto PIX;Preço à vista no cartão;Desconto cartão;Subcategoria;Código do produto;URL do produto
VeraCruz;7898074610019;Novaderm 5mg/g + 5mg/g Creme Dermatológico 30g;Disponível;0;0;0;0;0;Pele e Mucosa;11990;https://www.drogariaveracruz.com.br/novaderm-5mgg-5mgg-creme-dermatologico-30g/p
VeraCruz;7896422514484;ALENTHUS XR 75 MG C/30 CPS;Disponível;118,53;87,83;-25.9%;92,45;-22.0%;Psicotrópicos;24961;https://www.drogariaveracruz.com.br/alenthus-xr-75-mg-c30-cps/p
VeraCruz;7896112115151;Venaflon 450mg + 50mg 30 comprimidos revestidos;Disponível;105,37;32,03;-69.6%;33,72;-68.0%;Sistema Circulatório > Circulação;10834;https://www.drogariaveracruz.com.br/venaflon-450mg-50mg-30-comprimidos-revestidos/p
VeraCruz;7896261013483;Cataflam 50mg 20 drágeas;Disponível;56,22;46,46;-17.4%;48,91;-13.0%;Dor e Febre > Anti-Inflamatórios;17747;https://www.drogariaveracruz.com.br/cataflam-50mg-20-drageas/p
VeraCruz;7896006217626;Cef 500mg 10 Cápsulas;Disponível;0;0;0;0;0;Antibióticos;24429;https://www.drogariaveracruz.com.br/cef-500mg-10-capsulas/p
VeraCruz;7896009498992;Leite De Magnésia Antiacido Eno Magno Hortelã Sachê 10ml;Disponível;3,90;3,71;-4.9%;3,90;-0.0%;Digestão > Azia e Má Digestão;25110;https://www.drogariaveracruz.com.br/leite-de-magnesia-antiacido-enomagno-hortela-sache-10ml/p
VeraCruz;7898430194337;Folagest Pré+ 400mcg 30 cápsulas moles;Disponível;0;0;0;0;0;Saúde Feminina > Gestante;23710;https://www.drogariaveracruz.com.br/folagest-pre-400mcg-30-capsulas-moles/p
VeraCruz;7896004780801;Sigmatriol Calcitriol 0,25mcg Com 90 Cápsulas;Disponível;472,96;449,31;-5.0%;157,65;-66.7%;Vitaminas;26130;https://www.drogariaveracruz.com.br/sigmatriol-calcitriol-025mcg-com-90-capsulas/p
VeraCruz;7898087340132;Gel Dersani Hidrogel com Alginato 85g;Disponível;0;0;0;0;0;Pele e Mucosa;20944;https://www.drogariaveracruz.com.br/gel-dersani-hidrogel-com-alginato-85g/p
VeraCruz;7891317014254;ATRACE 37,5+325MG C/20 CPR;Disponível;0;0;0;0;0;Psicotrópicos;24298;https://www.drogariaveracruz.com.br/atrace-375325mg-c20-cpr/p
VeraCruz;7891317000912;Vitamina D3 AltaD 7.000UI 8 comprimidos revestidos;Disponível;0;0;0;0;0;Vitaminas;10904;https://www.drogariaveracruz.com.br/vitamina-d3-altad-7000ui-8-comprimidos-revestidos/p
VeraCruz;7896015500016;Analgésico Sonridor 2 comprimidos efervescentes;Disponível;0;0;0;0;0;Dor e Febre > Analgésico;17920;https://www.drogariaveracruz.com.br/analgesico-sonridor-2-comprimidos-efervescentes/p
VeraCruz;7891106916028;Angeliq 1mg + 2mg 28 comprimidos revestidos;Disponível;143,69;110,57;-23.0%;58,20;-59.5%;Saúde Feminina > Reposição Hormonal;11285;https://www.drogariaveracruz.com.br/angeliq-1mg-2mg-28-comprimidos-revestidos/p
VeraCruz;7896181913719;Busonid Aquoso Nasal 100mcg 120 doses 6ml;Disponível;95,02;76,73;-19.2%;80,77;-15.0%;Alergias;17473;https://www.drogariaveracruz.com.br/busonid-aquoso-nasal-100mcg-120-doses-6ml/p
VeraCruz;7897322709758;Addera D3 50.000UI 4 cápsulas moles;Disponível;142,88;112,66;-21.2%;59,30;-58.5%;Vitaminas;17350;https://www.drogariaveracruz.com.br/vitamina-d3-addera-d3-50000ui-4-capsulas-moles/p
VeraCruz;7896714219301;Histamin 2mg 20 comprimidos;Disponível;18,73;11,74;-37.3%;12,36;-34.0%;Alergias;15808;https://www.drogariaveracruz.com.br/antialergico-histamin-2mg-20-comprimidos/p
VeraCruz;7896658005176;Xarope Transpulmin 100mg/15ml Pediátrico Sabor Mel 150ml;Disponível;40,90;34,97;-14.5%;36,81;-10.0%;Sistema Respiratório > Tosse;10772;https://www.drogariaveracruz.com.br/xarope-transpulmin-100mg15ml-pediatrico-sabor-mel-150ml/p
VeraCruz;7896004734026;Repopil 35 2mg + 0,035mg 63 comprimidos revestidos;Disponível;0;0;0;0;0;Saúde Feminina > Anticoncepcionais;16039;https://www.drogariaveracruz.com.br/repopil-35-2mg-0035mg-63-comprimidos-revestidos/p
VeraCruz;7891317002589;Angino Rub Sabor Menta Com 16 Pastilhas;Disponível;22,44;12,79;-43.0%;13,46;-40.0%;Dor e Febre > Dor de Garganta;13007;https://www.drogariaveracruz.com.br/pastilhas-angino-rub-sabor-menta-16un/p
VeraCruz;7896004715032;Dorilen 12 comprimidos;Disponível;25,49;17,92;-29.7%;18,86;-26.0%;Dor e Febre > Analgésico;12134;https://www.drogariaveracruz.com.br/dorilen-12-comprimidos/p
VeraCruz;7896094903036;Benegrip 6 comprimidos revestidos;Disponível;16,59;14,81;-10.7%;15,59;-6.0%;Sistema Respiratório > Antigripais;17665;https://www.drogariaveracruz.com.br/benegrip-6-comprimidos/p
VeraCruz;7896658004360;Omepramix Caixa Contendo 56 Comprimidos + 28 Cápsulas;Disponível;0;0;0;0;0;Antibióticos;23859;https://www.drogariaveracruz.com.br/omepramix-caixa-contendo-56-comprimidos-28-capsulas/p
VeraCruz;7899095238312;Latanoprosta 50mcg/ml + Maleato de Timolol 5mg/ml Solução Oftálmica Estéril 2,5ml Genérico Geolab;Disponível;172,12;163,51;-5.0%;57,37;-66.7%;Olhos > Lubrificantes e Colírios;26388;https://www.drogariaveracruz.com.br/latanoprosta-50mcgml-maleato-de-timolol-5mgml-solucao-oftalmica-esteril-25ml-generico-geolab/p
VeraCruz;7896637033350;Meclin Jet 50mg 10 comprimidos mastigáveis;Disponível;34,13;28,53;-16.4%;30,03;-12.0%;Digestão > Náuseas;20956;https://www.drogariaveracruz.com.br/meclin-jet-50mg-10-comprimidos-mastigaveis/p
VeraCruz;7896658048340;Hpmix 40mg/ml Suspensão Oral 125ml;Disponível;118,72;99,25;-16.4%;52,24;-56.0%;Sistema Imunológico;23465;https://www.drogariaveracruz.com.br/hpmix-40mgml-suspensao-oral-125ml/p
VeraCruz;7896261014244;CataflamPRO Emulgel 30g;Disponível;32,46;26,83;-17.3%;28,24;-13.0%;Dor e Febre > Anti-Inflamatórios;17751;https://www.drogariaveracruz.com.br/analgesico-cataflampro-emugel-30g/p
VeraCruz;7896112403418;Contractubex Gel 20g;Disponível;121,50;105,04;-13.5%;55,29;-54.5%;Pele e Mucosa;12001;https://www.drogariaveracruz.com.br/contractubex-gel-20g/p
VeraCruz;7897322714257;Amplium G 30mg/g + 20mg/g Creme Ginecológico 40g + 7 aplicadores;Disponível;0;0;0;0;0;Saúde Feminina > Creme e óvulos vaginais;13293;https://www.drogariaveracruz.com.br/amplium-g-30mgg-20mgg-creme-ginecologico-40g-7-aplicadores/p
VeraCruz;7896094929753;Buscofem Girls 200mg 10 cápsulas moles;Disponível;26,50;21,15;-20.2%;22,26;-16.0%;Dor e Febre > Analgésico;23533;https://www.drogariaveracruz.com.br/buscofem-girls-200mg-10-capsulas-moles/p
VeraCruz;7898100241897;Salicetil Infantil 100mg 10 comprimidos;Disponível;2,32;1,08;-53.4%;1,14;-50.9%;Dor e Febre > Analgésico;18305;https://www.drogariaveracruz.com.br/salicetil-infantil-100mg-10-comprimidos/p
VeraCruz;7897337712590;Meticorten 5mg 20 comprimidos;Disponível;26,20;21,65;-17.4%;22,79;-13.0%;Dor e Febre > Anti-Inflamatórios;16673;https://www.drogariaveracruz.com.br/meticorten-5mg-20-comprimidos/p
VeraCruz;7896676438093;Dermacerium 1% + 04% 1 Bisnaga Com 50G de Creme de Uso dermatológico;Disponível;99,82;84,40;-15.4%;88,84;-11.0%;Antibióticos;23973;https://www.drogariaveracruz.com.br/dermacerium-1-04-1-bisnaga-com-50g-de-creme-de-uso-dermatologico/p
VeraCruz;7891317014575;Densis Ácido Zoledrônico 5mg Solução Injetável 100ml;Disponível;1591,67;1512,09;-5.0%;530,56;-66.7%;Para os Ossos > Osteoporose;26224;https://www.drogariaveracruz.com.br/densis-acido-zoledronico-5mg-solucao-injetavel-100ml/p
VeraCruz;7896015516598;WELLBUTRIN XL 150MG C/30 CPR;Disponível;0;0;0;0;0;Psicotrópicos;24788;https://www.drogariaveracruz.com.br/wellbutrin-xl-150mg-c30-cpr/p
VeraCruz;7896222720887;Antigases Luftal Infantil Gotas 75mg/ml Sabor Cereja 15ml;Disponível;39,99;31,53;-21.2%;33,19;-17.0%;Digestão > Antigases;19191;https://www.drogariaveracruz.com.br/antigases-luftal-infantil-gotas-75mgml-sabor-cereja-15ml/p
VeraCruz;7891317411923;Proflam 100mg 12 comprimidos;Disponível;81,26;64,08;-21.1%;67,45;-17.0%;Dor e Febre > Anti-Inflamatórios;10243;https://www.drogariaveracruz.com.br/proflam-100mg-12-comprimidos/p
VeraCruz;7500435245340;Pastilha Vick Drops Mel 20 Unidades;Disponível;19,90;18,91;-5.0%;19,90;-0.0%;Sistema Respiratório > Antigripais;25935;https://www.drogariaveracruz.com.br/pastilha-vick-drops-mel-20-unidades/p
VeraCruz;7898029550131;ARCALION - 200mg, 60 drágeas;Disponível;0;0;0;0;0;Sistema Nervoso > Antidepressivos;11303;https://www.drogariaveracruz.com.br/arcalion-200mg-60-drageas/p
VeraCruz;7898040320928;Marevan 5mg 30 comprimidos;Disponível;35,24;27,11;-23.1%;28,54;-19.0%;Sistema Circulatório > Circulação;12300;https://www.drogariaveracruz.com.br/marevan-5mg-30-comprimidos/p
VeraCruz;7896026307161;Cardizem SR 120mg 20 cápsulas duras de liberação prolongada;Disponível;0;0;0;0;0;Pressão Alta > Anti-Hipertensivo;10979;https://www.drogariaveracruz.com.br/cardizem-sr-120mg-20-capsulas-duras-de-liberacao-prolongada/p
VeraCruz;7896070601468;SECNIDAL - 1000mg, 2 comprimidos revestidos;Disponível;51,97;41,47;-20.2%;43,65;-16.0%;Vermes e Parasitas;11526;https://www.drogariaveracruz.com.br/secnidal-1000mg-2-comprimidos-revestidos/p
VeraCruz;7894916508971;Esomex 40mg 28 comprimidos revestidos;Disponível;0;0;0;0;0;Digestão > Úlcera e Gastrite;15236;https://www.drogariaveracruz.com.br/esomex-40mg-28-comprimidos-revestidos/p
VeraCruz;4987188568712;Bye Bye Fever para Bebês 0 a 2 Anos 2 unidades;Disponível;15,90;12,08;-24.0%;12,72;-20.0%;Dor e Febre > Analgésico;20284;https://www.drogariaveracruz.com.br/bye-bye-fever-para-bebes-0-a-2-anos-2-unidades/p
VeraCruz;7894916506762;SIGMALIV - 0,5mg/mL, 1 frasco com 60mL de xarope + seringa dosadora;Disponível;0;0;0;0;0;Alergias;12478;https://www.drogariaveracruz.com.br/sigmaliv-05mgml-1-frasco-com-60ml-de-xarope-seringa-dosadora/p
VeraCruz;7896006234524;Tandriflan Diclofenaco Sódico 50mg + Carisoprodol 125mg + Paracetamol 300mg + Cafeína 30mg 15 comprimidos;Disponível;22,25;21,14;-5.0%;22,25;-0.0%;Dor e Febre > Anti-Inflamatórios;26819;https://www.drogariaveracruz.com.br/tandriflan-diclofenaco-sodico-50mg-carisoprodol-125mg-paracetamol-300mg-cafeina-30mg-15-comprimidos/p
VeraCruz;-;Ibuvix 400mg 10 comprimidos;Disponível;0;0;0;0;0;Dor e Febre > Analgésico;;https://www.drogariaveracruz.com.br/ibuvix-400mg-10-comprimidos/p
VeraCruz;7896004803456;Naridrin Solução Nasal 15ml;Disponível;24,01;14,15;-41.1%;14,89;-38.0%;Sistema Respiratório > Descongestionantes;16736;https://www.drogariaveracruz.com.br/solucao-nasal-naridrin-15ml/p
VeraCruz;7897705203118;Wegovy 2,4mg 1 sistema de aplicação preenchido de 3ml e 4 agulhas descartáveis;Disponível;2504,02;2378,82;-5.0%;834,67;-66.7%;Diabetes;23228;https://www.drogariaveracruz.com.br/wegovy-24mg-1-sistema-de-aplicacao-preenchido-de-3ml-e-4-agulhas-descartaveis/p
VeraCruz;7896181916086;Angipress CD 50mg + 12,5mg 30 comprimidos;Disponível;0;0;0;0;0;Pressão Alta > Anti-Hipertensivo;11260;https://www.drogariaveracruz.com.br/angipress-cd-50mg-125mg-30-comprimidos/p
VeraCruz;7891106911344;Kyleena 19,5mg 1 dispositivo intrauterino + aplicador;Disponível;0;0;0;0;0;Oncológicos e Alto Custo;20583;https://www.drogariaveracruz.com.br/kyleena-195mg-1-dispositivo-intrauterino-aplicador/p
VeraCruz;7896548139585;Vigamox 5mg Suspensão Oftálmica Frasco Gotejador Com 5ml;Disponível;55,17;46,12;-16.4%;48,55;-12.0%;Antibióticos;23339;https://www.drogariaveracruz.com.br/vigamox-5mg-suspensao-oftalmica-frasco-gotejador-com-5ml/p
VeraCruz;7898040329679;Floratil AT 250mg 6 cápsulas;Disponível;0;0;0;0;0;Digestão > Laxantes e Reguladores Intestinais;21085;https://www.drogariaveracruz.com.br/floratil-at-250mg/p
VeraCruz;7896006299721;Xantinon 20 cápsulas moles;Disponível;24,90;18,69;-24.9%;19,67;-21.0%;Digestão > Laxantes e Reguladores Intestinais;22558;https://www.drogariaveracruz.com.br/xantinon-20-capsulas-moles/p
VeraCruz;7894916515825;Vynaxa 20mg 28 Comprimidos Revestidos;Disponível;0;0;0;0;0;Sistema Circulatório > Circulação;14735;https://www.drogariaveracruz.com.br/vynaxa-20mg-28-comprimidos-revestidos/p
VeraCruz;7891721015366;Diclin 2mg + 0,035mg 63 comprimidos revestidos;Disponível;61,31;48,35;-21.1%;50,89;-17.0%;Saúde Feminina > Anticoncepcionais;16929;https://www.drogariaveracruz.com.br/diclin-2mg-0035mg-63-comprimidos-revestidos/p
VeraCruz;7896255766791;Creon 25.000 30 cápsulas com minimicroesferas acidorresitentes;Disponível;181,13;137,66;-24.0%;72,45;-60.0%;Digestão > Azia e Má Digestão;10341;https://www.drogariaveracruz.com.br/creon-25000-30-capsulas-com-minimicroesferas-acidorresitentes/p
VeraCruz;7896112435778;Aradois H 50mg + 12,5mg 30 comprimidos revestidos;Disponível;106,94;78,22;-26.9%;82,34;-23.0%;Pressão Alta > Anti-Hipertensivo;11299;https://www.drogariaveracruz.com.br/aradois-h-50mg-125mg-30-comprimidos-revestidos/p
VeraCruz;7898016412961;Cloreto de Magnésio PA Ifal 33g;Disponível;10,15;8,00;-21.2%;8,42;-17.0%;Para os Ossos > Artrite e Artrose;11687;https://www.drogariaveracruz.com.br/cloreto-de-magnesio-pa-ifal-33g/p
VeraCruz;7896006240105;Cortisonal 10mg/g Creme Dermatológico 20g;Disponível;0;0;0;0;0;Dor e Febre > Anti-Inflamatórios;15474;https://www.drogariaveracruz.com.br/cortisonal-10mgg-creme-dermatologico-20g/p
VeraCruz;7891317139629;LIMIAR 150MG C/30 CPS;Disponível;0;0;0;0;0;Psicotrópicos;24612;https://www.drogariaveracruz.com.br/limiar-150mg-c30-cps/p
