Produto;Quantidade_Total;Frequencia_Vendas;Nome da Farmácia;EAN;Nome do produto;Status do produto;Preço original;Preço PIX;Desconto PIX;Preço à vista no cartão;Desconto cartão;Subcategoria;Código do produto;URL do produto
Busonid Suspensão Nasal 120 Doses;1160.0;55;São João;7896015518875.0;Avamys Spray Nasal 120 Doses;Disponível;74,30;74,30;-0.0%;74,30;-0.0%;Medicamentos > Alergias E Infecções > Rinite E Sinusite;10096528.0;https://www.saojoaofarmacias.com.br/avamys-spray-nasal-120-doses-10096528/p
TYLENOL DC MÚLTIPLAS DORES PARACETAMOL 1G + CAFEÍNA 130MG 20 COMPRIMIDOS;681.0;25;São João;7891010256630.0;Tylenol Dor de Cabeça 500mg+65mg 10 Comprimidos Revestidos Johnson & Johnson;Disponível;21,87;14,99;-31.5%;14,99;-31.5%;Medicamentos > Analgésicos;10040736.0;https://www.saojoaofarmacias.com.br/tylenol-dor-de-cabeca-500mg-65mg-10-comprimidos-revestidos-johnson---johnson-10040736/p
Vitanol-A Creme Dermatológico 30g;632.0;27;São João;7795320008821.0;Icaden Creme Dermatológico 20g;Disponível;50,17;44,69;-10.9%;44,69;-10.9%;Medicamentos > Antifúngicos > Micose;5735.0;https://www.saojoaofarmacias.com.br/icaden-creme-dermatologico-20g-5735/p
Naridrin Solução Nasal 15ml;596.0;29;São João;7896006290216.0;Lacrifilm Solução Oftálmica 15ml;Disponível;47,65;40,79;-14.4%;40,79;-14.4%;Medicamentos > Oftalmologia > Colírios;10086048.0;https://www.saojoaofarmacias.com.br/lacrifilm-solucao-oftalmica-15ml-10086048/p
Sulfato De Neomicina 5mg/g + Bacitracina Zíncica 250UI/g Genérico Prati Pomada 15g;564.0;16;São João;7898148291533.0;Neomicina + Bacitracina Pomada Dermatológica Genérico Prati-Donaduzzi 15g;Disponível;13,41;9,99;-25.5%;9,99;-25.5%;Medicamentos > Pele E Mucosa;10085366.0;https://www.saojoaofarmacias.com.br/neomicina---bacitracina-pomada-dermatologica-generico-prati-donaduzzi-15g-10085366/p
Transpulmin Xarope 150ml;560.0;25;São João;7896658005930.0;Transpulmin Xarope 150ml;Disponível;47,25;42,49;-10.1%;42,49;-10.1%;Medicamentos > Gripe E Resfriado > Xarope Para Tosse Produtiva;1955.0;https://www.saojoaofarmacias.com.br/transpulmin-xarope-150ml-1955/p
Predsim 5mg 20 Comprimidos Mantecorp;550.0;16;São João;7891142981363.0;Predsim Mantecorp 20mg 10 Comprimidos;Disponível;39,94;36,49;-8.6%;36,49;-8.6%;Medicamentos > Alergias E Infecções > Corticoide;92787.0;https://www.saojoaofarmacias.com.br/predsim-mantecorp-20mg-10-comprimidos-92787/p
Pomada Dermatológica Tarfic 10g;539.0;26;São João;7896637025362.0;Pomada Dermatológica Postec  20g;Disponível;148,92;124,69;-16.3%;124,69;-16.3%;Medicamentos > Alergias E Infecções > Corticoide;10095813.0;https://www.saojoaofarmacias.com.br/pomada-dermatologica-postec--20g-10095813/p
Keflex 1G 8 Drágeas Bago;538.0;15;São João;7891268100501.0;Aromasin 25mg 30 drágeas Wyeth;Disponível;1555,40;726,99;-53.3%;726,99;-53.3%;Medicamentos > Medicamentos Especiais > Oncologia;10087117.0;https://www.saojoaofarmacias.com.br/aromasin-25mg-30-drageas-wyeth-10087117/p
Albendazol 400mg Genérico Prati 5 Comprimidos Mastigáveis;538.0;17;São João;7899547527681.0;Albendazol Genérico Prati-Donaduzzi 400mg 5 Comprimidos Mastigáveis;Disponível;46,31;27,90;-39.8%;27,90;-39.8%;Medicamentos > Antiparasitários;100013368.0;https://www.saojoaofarmacias.com.br/albendazol-generico-prati-donaduzzi-400mg-5-comprimidos-mastigaveis-100013368/p
