Farmácia,Status,Total Unidades Vendidas,Frequencia_Vendas,EAN_ou_SKU,Nome_do_Produto,Preco_Tabela,Preco_Cartao_Valor,Desconto_Cartao,Preco_Pix_Valor,Desconto_Pix
São João,Esgotado,1160.0,55,0.0,Busonid Suspensão Nasal 120 Doses,0,0,0,0,0
São João,Esgotado,681.0,25,0.0,TYLENOL DC MÚLTIPLAS DORES PARACETAMOL 1G + CAFEÍNA 130MG 20 COMPRIMIDOS,0,0,0,0,0
São João,Disponível,632.0,27,7795320008821.0,Vitanol-A Creme Dermatológico 30g,"50,17","44,69",-10.9%,"44,69",-10.9%
São João,Esgotado,596.0,29,0.0,Naridrin Solução Nasal 15ml,0,0,0,0,0
São João,Esgotado,564.0,16,0.0,Sulfato De Neomicina 5mg/g + Bacitracina Zíncica 250UI/g Genérico Prati Pomada 15g,0,0,0,0,0
São João,Disponível,560.0,25,7896658005930.0,Transpulmin Xarope 150ml,"47,25","42,49",-10.1%,"42,49",-10.1%
São João,Disponível,550.0,16,7891142981363.0,Predsim 5mg 20 Comprimidos Mantecorp,"39,94","36,49",-8.6%,"36,49",-8.6%
São João,Disponível,539.0,26,7896637025362.0,Pomada Dermatológica Tarfic 10g,"148,92","124,69",-16.3%,"124,69",-16.3%
São João,Esgotado,538.0,15,0.0,Keflex 1G 8 Drágeas Bago,0,0,0,0,0
São João,Disponível,538.0,17,7899547527681.0,Albendazol 400mg Genérico Prati 5 Comprimidos Mastigáveis,"46,31","27,90",-39.8%,"27,90",-39.8%
São João,Disponível,536.0,16,7891317017378.0,Sinot Clav 875/125mg 14 Comprimidos Revestido Eurofarma,"80,69","42,09",-47.8%,"42,09",-47.8%
São João,Disponível,536.0,15,7896523208473.0,Axetil de Cefuroxima Suspensão Oral 250mg/5ml 50ml Genérico Ranbaxy,"29,54","12,29",-58.4%,"12,29",-58.4%
São João,Disponível,535.0,14,7896637032223.0,Probians 30 Cápsulas,"135,90","135,90",-0.0%,"135,90",-0.0%
São João,Disponível,527.0,16,7896523208770.0,Fluoxetina 20mg 28 Cápsulas Genérico Cimed (C1),"23,03","6,29",-72.7%,"6,29",-72.7%
São João,Disponível,526.0,16,7896523227443.0,Praalergia 120mg 6 Comprimidos Cimed,"96,29","24,49",-74.6%,"24,49",-74.6%
São João,Disponível,523.0,13,7896004747002.0,Nesina Pio 25mg + 15mg 30 Comprimidos Revestidos Hypera,"193,79","49,90",-74.3%,"49,90",-74.3%
São João,Esgotado,521.0,15,0.0,Koide 120ml Momenta,0,0,0,0,0
São João,Disponível,520.0,15,7896004715292.0,Acebrofilina 120ml Infantil Genérico Cimed,"39,56","33,09",-16.4%,"33,09",-16.4%
São João,Disponível,519.0,15,7898148294381.0,Metoprolol 50mg 30 Comprimidos Revestidos Genérico Pharlab,"17,05","8,59",-49.6%,"8,59",-49.6%
São João,Disponível,516.0,16,7896637029117.0,Hominus 2+5Mg 30 Cápsulas Dura Momenta,"77,57","33,00",-57.5%,"33,00",-57.5%
São João,Esgotado,515.0,15,0.0,Venlaxin XR 75mg 60 Cápsulas Eurofarma,0,0,0,0,0
São João,Esgotado,514.0,15,0.0,CataflamPro Aerossol Solução Dermatológica 85ml,0,0,0,0,0
São João,Esgotado,512.0,15,0.0,Oscillococcinum 200K 6 Tubos,0,0,0,0,0
