Nome da Farmácia;EAN;Nome do produto;Status do produto;Preço original;Preço PIX;Desconto PIX;Preço à vista no cartão;Desconto cartão;Subcategoria;Código do produto;URL do produto
São João;7896255764384;Ritmonorm 300Mg 30 Comprimidos Revestidos Abbott;Disponível;150,64;120,51;-20.0%;120,51;-20.0%;Medicamentos > Cardiológicos > Arritmia Cardíaca;10097696;https://www.saojoaofarmacias.com.br/ritmonorm-300mg-30-comprimidos-revestidos-abbott-10097696/p
São João;7897705203620;Poviztra Semaglutida 1mg 3ml Novo Nordisk;Disponível;977,19;803,89;-17.7%;803,89;-17.7%;Medicamentos > Emagrecer;10050648;https://www.saojoaofarmacias.com.br/poviztra-semaglutida-1mg-3ml-novo-nordisk-10050648/p
São João;7897705203644;Poviztra Semaglutida 2,4mg 3ml Novo Nordisk;Disponível;1599,59;1310,99;-18.0%;1310,99;-18.0%;Medicamentos > Emagrecer;10050654;https://www.saojoaofarmacias.com.br/poviztra-semaglutida-2-4mg-3ml-novo-nordisk-10050654/p
São João;7898569760496;Rosuvastatina Genérico Althaia 20mg 30 Comprimidos Revestidos;Disponível;88,12;23,90;-72.9%;23,90;-72.9%;Medicamentos > Cardiológicos > Colesterol;10011933;https://www.saojoaofarmacias.com.br/rosuvastatina-generico-althaia-20mg-30-comprimidos-revestidos-10011933/p
São João;7896004749648;Tadalafila Genérico EMS 20mg 4 Comprimidos Revestidos;Disponível;42,28;9,90;-76.6%;9,90;-76.6%;Medicamentos > Saúde Do Homem > Disfunção Erétil;100014681;https://www.saojoaofarmacias.com.br/tadalafila-generico-ems-20mg-4-comprimidos-revestidos-100014681/p
São João;7896004749624;Tadalafila Genérico EMS 5mg 30 Comprimidos Revestidos;Disponível;118,13;24,90;-78.9%;24,90;-78.9%;Medicamentos > Saúde Do Homem > Disfunção Erétil;100014678;https://www.saojoaofarmacias.com.br/tadalafila-generico-ems-5mg-30-comprimidos-revestidos-100014678/p
São João;7896523201887;Dipirona 1g 10 Comprimidos Genérico Cimed;Disponível;27,67;5,99;-78.4%;5,99;-78.4%;Medicamentos > Analgésicos > Dor E Febre;10038588;https://www.saojoaofarmacias.com.br/dipirona-1g-10-comprimidos-generico-cimed-10038588/p
São João;7896523208770;Fluconazol 150mg 2 Cápsulas Genérico Cimed;Disponível;23,03;6,29;-72.7%;6,29;-72.7%;Medicamentos > Antifúngicos;999533;https://www.saojoaofarmacias.com.br/fluconazol-150mg-2-capsulas-generico-cimed-999533/p
São João;7896523227450;Tadalafila 5mg 30 Comprimidos Genérico Cimed;Disponível;170,77;15,87;-90.7%;15,87;-90.7%;Medicamentos > Saúde Do Homem > Disfunção Erétil;10006796;https://www.saojoaofarmacias.com.br/tadalafila-5mg-30-comprimidos-generico-cimed-10006796/p
São João;7896004748214;Quetiapina Genérico EMS 25mg 30 Comprimidos Revestidos (C1);Disponível;59,87;15,10;-74.8%;15,10;-74.8%;Medicamentos > Sistema Nervoso Central > Antipsicóticos;100007100;https://www.saojoaofarmacias.com.br/quetiapina-generico-ems-25mg-30-comprimidos-revestidos--c1--100007100/p
