int64_field_0;venda_id;nome_produto;data_venda;quantidade
23;8041;Glargilin 100UI/ml Biomm 1 Carpule com 3ml;01-2024;
98;73;Esponja de Banho Ponjita 3M Fibra Natural;01-2024;
291;15529;Loxonin 60mg Sankyo 15 Cápsulas;01-2024;
296;6625;Creme Bed Head After Party Smooth 50ml;01-2024;
496;685;Cílios Postiços Longo Natural Absolute New York Magiquick 601 Preto 1 Par;01-2024;
899;62809;Lapiseira Para Olhos Colorida Have Fun Rosa Vizzela;01-2024;
1198;3349;Atentah 25mg Apsen 30 Cápsulas;01-2024;
1222;34549;Naprix A 5mg + 5mg Libbs 30 Cápsulas;01-2024;
1312;31093;Hastes Flexíveis Cotonetes 300 Unidades;01-2024;
1353;23797;Óleo De Cravo Ever You 9ml;01-2024;
1373;14473;Gran D 22.400UI Cristália 1 Comprimido;01-2024;
1444;13237;Refrigerante Coca-Cola Lata 350ml;01-2024;
1453;39901;Bolsa Térmica Gel Gato;01-2024;
1571;14173;Algodão Quadrado Cremer 100 Unidades;01-2024;
1610;44197;Leite em Pó Ninho Integral 575g;01-2024;
1668;19813;Condicionador Selador Elseve L'Oréal Paris Selador Cachos Longos dos Sonhos 400ml;01-2024;
1799;12577;Diclofenaco Potássico 50mg Genérico Cimed 20 Comprimidos;01-2024;
1986;61177;Óleo ozonizado  - 30ml;01-2024;
1988;51505;Mamadeira Clássica Philips Avent 125ml;01-2024;
2080;15277;Óleo Capilar Mágico Dabelle Hair Blend de Óleos 40ml;01-2024;
2180;7945;Bolsa Térmica Água Quente 2 Litros;01-2024;
2223;30985;Condicionador Johnson's Cachos Dos Sonhos 200ml;01-2024;
2261;26269;Chocolate Baton Ao Leite 16g;01-2024;
2367;2221;Shakeira Mundo Verde Aloha 400ml;01-2024;
2539;15313;Óleo Reparador Dabelle Abacate Nutritivo 75ml;01-2024;
2562;16573;Vizzela LipLiner Lapiseira Labial - 08-Determinada;01-2024;
2601;19765;Condicionador L'Oréal Paris Elseve Óleo Extraordinário 200ml;01-2024;
2628;16993;Cera Depilatória Depilsam Feminina Roll On 100g;01-2024;
2791;2965;Protetor Diário Always Hipoalergênico Sensitive Sem Perfume 80 Unidades;01-2024;
2895;31069;Fita Dental Johnson's Reach Expansion Plus 50m;01-2024;
3159;29113;Kit Naninha e Manta Para Bebê Hannys Baby - Bege;01-2024;
3372;35653;Shampoo Love Beauty And Planet Energizing Detox 300ml;01-2024;
3436;37489;Mari Maria Makeup Cover Up - Base Matte 35ml - MM15;01-2024;
3442;19465;Argila Burgundy com Pó de Rubi 30g - Elemento Mineral;01-2024;
3528;1921;Ampola Capilar Alfaparf Semi Di Lino Diamante Illuminating Essential Oil  15ml;01-2024;
3563;10933;Hidratante Labial Carmed Barbie 65 Pink 10g;01-2024;
3783;5353;Barra de Frutas Supino Zero Banana e Ameixa 24g;01-2024;
3817;5833;Bauny - Tônico Facial 100ml;01-2024;
3878;11149;Catharine Hill Angel Wings by Pri Lessa  - Base Alta Cobertura  40ml - A5;01-2024;
4197;23197;Elástico para Cabelo Ever You Prateado 12 Unidades;01-2024;
4338;6205;Zylet 0,5mg + 0,3mg Bausch Lomb 5ml Solução Oftálmica;01-2024;
4413;10813;Óleo Capilar Cadiveu Professional Açaí Oil 10 ml;01-2024;
4419;5677;Bauny - Lapiseira Retrátil para Olhos 350mg - Marrom;01-2024;
4534;36685;AAS Protect 100mg Hypera 30 comprimidos;01-2024;
4577;51793;Protetor Solar Facial com Cor Pink Cheeks Pink Stick FPS 90 FPUVA 70 10Km 14 g;01-2024;
4755;33097;Loção Hidratante Corporal La Florentina Romã 200 ml;01-2024;
4838;51373;Bico Mamadeira n° 3 Linha Clássica Philips Avent - SCF633/27;01-2024;
4885;19033;Mirtazapina 15mg Genérico EMS 30 Comprimidos;01-2024;
5083;14233;Hastes Flexíveis Paw Patrol Topz Baby 75 Unidades;01-2024;
5101;16621;Fio Dental Com Cera Dental Clean Romero Britto 25m;01-2024;
5248;18949;Gliclazida 30mg Genérico EMS 60 Comprimidos;01-2024;
5308;11797;Clenil Compositum A 400mcg/ml + 800mcg/ml Chiesi 10 Flaconetes;01-2024;
