Produto;Quantidade_Total;Frequencia_Vendas
Algodão Hidrófilo Ever Care 25g;743.0;29
Océane Retouch My Glam - Pó Translúcido 8g;615.0;16
Algodão Hidrófilo Ever Care 50g;612.0;26
Grampo Para Cabelo Loiro Número 7 Corpus;606.0;25
Algodão Hidrófilo Ever Care 500g;600.0;24
Baclon 10mg União Química 20 comprimidos;596.0;15
Prolopa 200mg + 50mg Roche 30 Comprimidos;577.0;17
Cloridrato Tizanidina 2mg Genérico Ranbaxy 30 Comprimidos;575.0;16
Perfume Miss Gabriela Sabatini Eau de Toilette 30ml;548.0;15
Busonid 50mcg/dose Aché 6ml 120 Doses Solução Nasal;545.0;15
Bico Para Mamadeira Philips Avent Pétala Número 4 6+M 2 Unidades;538.0;15
Base Líquida Matte Eudora Niina Secrets Daily Tint Cream Cor 48 25 ml;531.0;15
Amoxicilina 400mg/5ml + Clavulanato de Potássio 57mg/5ml Genérico EMS 70ml Suspensão Oral;529.0;15
Óleo Corporal Infantil Cheirinho De Bebê Amêndoas Suave 140ml;529.0;18
Máscara Capilar Aussie Non Stop Hydratation Tratamento Intensivo 270ml;527.0;16
Actifedrin 2,5mg + 60mg Farmoquímica 20 Comprimidos;525.0;15
Varicoss 15mg + 90mg Cifarma 60 Drágeas;521.0;16
Catharine Hill Angel Wings by Pri Lessa  - Base Alta Cobertura  40ml - A5;520.0;18
Pincel Para Iluminador - Shimmer Brush Ocn6 Océane - Pincel Para Iluminador - Shimmer Brush Ocn6 Indefinido;519.0;13
Kit Miss Frandy - Cílios Postiços com 10 Pares;519.0;24
Preservativo Blowtex Efeito Retardante 9 Unidades;517.0;15
Concor HCT 5mg + 12,5mg Merck 30 Comprimidos;517.0;14
Escova de Cabelo Ricca Shower Flex Turquesa 1 Unidade;515.0;15
Valsed 100mg Cifarma 20 Comprimidos;514.0;14
Ciprofibrato 100mg Genérico Neo Química 30 Comprimidos;514.0;13
Sinvastatina 10mg Genérico Sandoz 30 Comprimidos Revestidos;512.0;13
Minoxidil 5% com biotina 120ml;510.0;17
Oxcarbazepina 300mg Genérico Ranbaxy 60 Comprimidos;510.0;17
Cloridrato de Nebivolol 5mg Genérico Biolab 30 Comprimidos;510.0;14
Geleia de morango 270g - Delicassis;507.0;14
Bolinha Para Massagem Corporal Incoterm;507.0;15
Barra De Proteína Crisp Bar Doce de Coco 1 Unidade;507.0;16
Deprasil 30mg Cristália 30 Cápsulas Duras;505.0;14
Refresco Magro Sabor Laranja Zero Açucares 8G;504.0;13
Bico de Mamadeira MAM Ortodôntico;502.0;15
Refil Sabonete Líquido Protex Vitamina E 900ml;501.0;16
Aciclovir 400mg Genérico Merck 30 Comprimidos;500.0;15
Óleo Essencial de Lavandin 5ml - WNF;498.0;14
Amiobal 100mg Baldacci 30 Comprimidos;497.0;14
Diatarcom MR 60mg Servier 30 Comprimidos;496.0;14
Pasta de Dente Infantil Oral-B Kids Mickey 50g;495.0;14
Creme para Pernas Diosmin 200g;494.0;16
Algodão Ever Care Hidrófilo Rolo 250g;493.0;16
Nordette 0,15mg + 0,03mg Pfizer 21 Drágeas;492.0;16
Flebon 50mg Farmoquimica  30 Comprimidos;490.0;15
Asmofen 0,2mg/1ml Teuto 120ml Xarope;490.0;14
Acetona Beira Alta - 450ml;490.0;14
Tormiv SL 10mg Ache 10 Comprimidos Sublinguais;489.0;15
Kit Protetor Solar Nivea Protect & Bronze FPS30 200ml + 100ml;489.0;16
Deca Durabolin 50mg/ml Aspen 1ml Ampola Injetável;489.0;14
Novoprazol 20mg Globo 28 Comprimidos;488.0;15
Leave-in de Recarga de Queratina Magic Beauty Liss Extreme 120 ml;487.0;14
Espuma de Barbear Bozzano Refrescante Antibac 200ml;487.0;15
Bebida Isotônica Powerade Tangerina 500ml;486.0;14
Cicladol 20mg Chiesi 5 Comprimidos;486.0;13
Mamadeira Kuka Natural Color com Bico Ortodôntico Rosa 1557 250ml;485.0;15
Bolsa Termogel Grande;485.0;13
Óleo de Amêndoas Ever You Meu SPA Mandarina & Limão Siciliano 130ml;485.0;15
