venda_id;nome_produto;data_venda;quantidade;ponto_origem
6457;Cetrolac SL 10mg 20 comprimidos sublinguais;01-2024;50.0;Historico_Vendas_Vera_Cruz
3193;Zanidip 20mg 30 comprimidos;01-2024;1.0;Historico_Vendas_Vera_Cruz
5461;Decadron 0,75mg 20 comprimidos;01-2024;1.0;Historico_Vendas_Vera_Cruz
4249;Venzer HCT 16mg + 12,5mg 30 comprimidos;01-2024;1.0;Historico_Vendas_Vera_Cruz
121;Busonid Caps 400mcg 60 cápsulas para inalação + 1 inalador;01-2024;1.0;Historico_Vendas_Vera_Cruz
1861;Lisador Dip 1g 10 comprimidos;01-2024;1.0;Historico_Vendas_Vera_Cruz
2149;Maxalgina 1g 10 Comprimidos;01-2024;1.0;Historico_Vendas_Vera_Cruz
2029;Alivium 400mg 10 cápsulas líquidas;01-2024;1.0;Historico_Vendas_Vera_Cruz
6841;Daivonex 50mcg/g Pomada Dermatológica 30g;01-2024;1.0;Historico_Vendas_Vera_Cruz
3037;Angipress 50mg 30 comprimidos;01-2024;1.0;Historico_Vendas_Vera_Cruz
7189;Adesivos Salonpas Pequeno 4un;01-2024;1.0;Historico_Vendas_Vera_Cruz
18481;Analgésico Novalgina 1g 10 comprimidos;01-2024;1.0;Historico_Vendas_Vera_Cruz
22465;Gengimin 160mg 15 Comprimidos Revestidos;01-2024;1.0;Historico_Vendas_Vera_Cruz
9289;Carverol 250mg 20 comprimidos;01-2024;1.0;Historico_Vendas_Vera_Cruz
9445;Apracur 6 comprimidos;01-2024;1.0;Historico_Vendas_Vera_Cruz
817;Alektos 20mg 30 comprimidos;01-2024;1.0;Historico_Vendas_Vera_Cruz
589;Zina 5mg 10 comprimidos;01-2024;1.0;Historico_Vendas_Vera_Cruz
8461;Microvlar 0,15mg + 0,03mg 21 drágeas;01-2024;1.0;Historico_Vendas_Vera_Cruz
2593;Anador 500mg 4 comprimidos;01-2024;1.0;Historico_Vendas_Vera_Cruz
4645;Diovan Amlo Fix 160mg + 10mg 28 comprimidos revestidos;01-2024;1.0;Historico_Vendas_Vera_Cruz
1765;Analgésico Sonridor 2 comprimidos efervescentes;01-2024;1.0;Historico_Vendas_Vera_Cruz
2305;Bye Bye Fever para Bebês 0 a 2 Anos 2 unidades;01-2024;1.0;Historico_Vendas_Vera_Cruz
7693;Dexason Elixir 100ml;01-2024;1.0;Historico_Vendas_Vera_Cruz
7777;Teflan 20mg 10 comprimidos revestidos;01-2024;1.0;Historico_Vendas_Vera_Cruz
21889;Solução Oftálmica Timoptol 0,5% 5ml;01-2024;1.0;Historico_Vendas_Vera_Cruz
1393;Tormiv SL 10mg Sabor Limão 10 comprimidos sublinguais;01-2024;1.0;Historico_Vendas_Vera_Cruz
14377;Sirdalud 2mg 30 comprimidos;01-2024;1.0;Historico_Vendas_Vera_Cruz
13945;Lípitor 20mg 30 comprimidos revestidos;01-2024;1.0;Historico_Vendas_Vera_Cruz
1609;Gripalcê Uno Bebê Sabor Cereja 15ml;01-2024;1.0;Historico_Vendas_Vera_Cruz
5053;Bramicar HCT 80mg + 12,5mg 60 comprimidos;01-2024;1.0;Historico_Vendas_Vera_Cruz
18145;Pastilhas Vick Drops Sabor Artificial de Limão 10g;01-2024;1.0;Historico_Vendas_Vera_Cruz
1933;Alivium 400mg 8 cápsulas líquidas;01-2024;1.0;Historico_Vendas_Vera_Cruz
5545;Artrosil 320mg 20 cápsulas duras de liberação prolongada;01-2024;1.0;Historico_Vendas_Vera_Cruz
7333;Voltaren SR 75mg 20 comprimidos revestidos de liberação prolongada;01-2024;1.0;Historico_Vendas_Vera_Cruz
6373;Motix Pomada 50g;01-2024;1.0;Historico_Vendas_Vera_Cruz
7849;Symdulor SL 10mg 10 comprimidos sublinguais;01-2024;1.0;Historico_Vendas_Vera_Cruz
13981;Sinvastacor 40mg 30 comprimidos revestidos;01-2024;1.0;Historico_Vendas_Vera_Cruz
20893;Suplemento Hidroeletrolítico Hidralyte Laranja 500ml;01-2024;1.0;Historico_Vendas_Vera_Cruz
4081;Holmes H 20mg + 12,5mg 30 comprimidos revestidos;01-2024;1.0;Historico_Vendas_Vera_Cruz
4009;Micardis Anlo 80mg + 10mg 30 comprimidos;01-2024;1.0;Historico_Vendas_Vera_Cruz
16021;Lavagem Nasal Nasoar 30 sachês + frasco aplicador;01-2024;1.0;Historico_Vendas_Vera_Cruz
361;Allexofedrin 180mg 10 comprimidos revestidos;01-2024;1.0;Historico_Vendas_Vera_Cruz
5101;Tenadren 40mg + 12,5mg 30 comprimidos;01-2024;1.0;Historico_Vendas_Vera_Cruz
14185;Musculare 10mg 30 comprimidos revestidos;01-2024;1.0;Historico_Vendas_Vera_Cruz
6445;Dexaneurin Injetável 3 Ampolas A de 2mL e 3 Ampolas B de 1mL;01-2024;1.0;Historico_Vendas_Vera_Cruz
8845;Elani 28 3mg + 0,03mg 28 comprimidos revestidos;01-2024;1.0;Historico_Vendas_Vera_Cruz
6241;Betametasona 0,1mg/ml sabor Framboesa 120ml;01-2024;1.0;Historico_Vendas_Vera_Cruz
15781;Solução Nasal Naridrin 12 Horas 1mg/ml + 0,2mg/ml + 5mg/ml 30ml;01-2024;1.0;Historico_Vendas_Vera_Cruz
22933;Solução Otológica Cerumin 8ml;01-2024;1.0;Historico_Vendas_Vera_Cruz
25525;Primogyna 1mg 28 drágeas;01-2024;1.0;Historico_Vendas_Vera_Cruz
19969;Sandrena 0,1mg Gel 28 sachês com 1g;01-2024;1.0;Historico_Vendas_Vera_Cruz
10213;Artrolive 500mg + 400mg 30 cápsulas;01-2024;1.0;Historico_Vendas_Vera_Cruz
20677;Lacto-Leve Sem Sabor 120ml;01-2024;1.0;Historico_Vendas_Vera_Cruz
7609;Duoflam 5mg/ml + 2mg/ml Suspensão Injetável com 1ml + seringa;01-2024;1.0;Historico_Vendas_Vera_Cruz
2317;Bye Bye Fever para Adultos 2 unidades;01-2024;1.0;Historico_Vendas_Vera_Cruz
17065;Insulina Fiasp 100U FlexTouch 3ml Com 1 Caneta;01-2024;1.0;Historico_Vendas_Vera_Cruz
24445;Pomada Bucal Mud Oral 1mg/g 10g;01-2024;1.0;Historico_Vendas_Vera_Cruz
14545;Gel Hidratante Intravaginal Provagin 30g;01-2024;1.0;Historico_Vendas_Vera_Cruz
301;Loratamed Loratadina 1mg/ml Sabor Uva 100ml;01-2024;1.0;Historico_Vendas_Vera_Cruz
6961;Flexive CDM Creme 50g;01-2024;1.0;Historico_Vendas_Vera_Cruz
