EAN,Produto_Original,Status,Preço_De_Tabela,Preço_Pix,Preço_Cartão,Farmácia
7.89624E+12,"Drenison 0,125mg/g Creme 30g",Disponível,47.86,40.01,42.12,Vera Cruz
7.89862E+12,Glargilin 100ui/ml 1 caneta descartável preenchida com 3ml de solução injetável,Disponível,76.63,64.06,67.43,Vera Cruz
7.89609E+12,Naprix 5mg 90 comprimidos,Disponível,188.01,135.75,71.45,Vera Cruz
7.89671E+12,"Fluidificante Nasal Neosoro 0,9% Fluid Spray 50ml",Esgotado,32.14,30.53,32.14,Vera Cruz
7.89652E+12,Cimegripe 20 cápsulas,Disponível,29.43,13.21,13.9,Vera Cruz
7.89295E+12,"OSTEOTEC - 150mg, 1 comprimido revestido",Esgotado,96.77,79.98,84.19,Vera Cruz
7.89843E+12,"Suplemento Vitamínico Unizinco 17,60mg/ml Sabor Tutti Frutti 100ml",Disponível,34.74,29.71,31.27,Vera Cruz
7.89633E+12,Calotrat Hertz Solução 5ml,Disponível,17.9,14.62,15.39,Vera Cruz
7.89611E+12,Venaflon 900mg + 100mg 60 comprimidos,Disponível,270.29,102.71,54.06,Vera Cruz
7.89666E+12,Montelair 4mg Sabor Cereja 30 comprimidos mastigáveis,Disponível,78.9,62.22,65.49,Vera Cruz
7.896E+12,Hormoskin Creme Dermatológico 15g,Disponível,100.48,89.73,94.45,Vera Cruz
7.89666E+12,Esalerg 5mg 10 comprimidos revestidos,Disponível,70.48,58.25,61.32,Vera Cruz
7.89295E+12,Flodin Duo 150mg 10 comprimidos de liberação controlada,Esgotado,62.83,48.94,51.52,Vera Cruz
7.89623E+12,Óleo Mineral ADV Farma 100% Puro 100ml,Disponível,14.9,12.04,12.67,Vera Cruz
7.89671E+12,Pepsamar Sabor Menta 10 comprimidos mastigáveis,Disponível,9,7.95,8.37,Vera Cruz
7.89132E+12,Tâmisa 30 75mcg + 30mcg 21 drágeas,Disponível,39.79,31.38,33.03,Vera Cruz
7.89803E+12,Diamicron MR 60mg 60 comprimidos de liberação prolongada,Disponível,211.69,160.88,56.45,Vera Cruz
7.89172E+12,"Concor 1,25mg 30 comprimidos revestidos",Disponível,77.14,57.16,60.17,Vera Cruz
7.89111E+12,Gyno - Icaden 10mg/g Creme Vaginal 40g + 7 aplicadores,Esgotado,100.91,83.4,87.79,Vera Cruz
7.89492E+12,Neutrofer 500mg 30 comprimidos revestidos,Disponível,93.25,75.3,79.26,Vera Cruz
7.89603E+12,Laxol Sabor Hortelã 60ml,Esgotado,29.9,25.56,26.91,Vera Cruz
7.89111E+12,Icaden 10mg/g Creme Dermatológico 20g,Disponível,52.34,46.25,48.68,Vera Cruz
7.89807E+12,Spidufen 1155mg Sabor Damasco com 10 Envelopes de 3g cada,Disponível,55.37,45.76,48.17,Vera Cruz
7.89104E+12,Pastilhas para Garganta Strepsils Sabor Mel e Limão 8 pastilhas,Disponível,17.49,14.13,14.87,Vera Cruz
7.89586E+12,Emla 5%  Creme 5g + 2 bandagens oclusivas,Esgotado,31.44,26.89,28.3,Vera Cruz
7.89618E+12,Cordarex 10mg 30 comprimidos,Disponível,61.03,48.12,50.65,Vera Cruz
7.89633E+12,Resfenol Xarope Sabor Laranja 100ml,Disponível,32.87,31.23,32.87,Vera Cruz
7.896E+12,Capy Solução Capilar 50mg/ml 2 frascos de 50ml cada,Esgotado,103.21,98.05,51.61,Vera Cruz
7.89601E+12,Doxaprost 4mg 30 comprimidos,Disponível,74.65,34.04,35.83,Vera Cruz
7.89666E+12,"Feminique Conti 3mg + 0,03mg 28 comprimidos",Disponível,70.23,56.04,58.99,Vera Cruz
7.89664E+12,Retemic 5mg 30 comprimidos,Disponível,45.29,37.43,39.4,Vera Cruz
7.89295E+12,Pyridium 100mg 25 Drágeas,Disponível,29.9,22.44,23.62,Vera Cruz
7.89652E+12,"Loratadina 1mg/ml, Cimed 100ml",Disponível,35.8,14.96,15.75,Vera Cruz
