EAN;Produto_Original;Preco;Farmacia;Preco_De_Tabela;Preco_Pix;Preco_Cartao;Status_Preco
7896241270363;Drenison 0,125mg/g Creme 30g;Consultar;Vera Cruz;47.86;40.01;42.12;Disponível
7898616360303;Glargilin 100ui/ml 1 caneta descartável preenchida com 3ml de solução injetável;Consultar;Vera Cruz;76.63;64.06;67.43;Disponível
7896094210714;Naprix 5mg 90 comprimidos;Consultar;Vera Cruz;188.01;135.75;71.45;Disponível
7896714290515;Fluidificante Nasal Neosoro 0,9% Fluid Spray 50ml;Consultar;Vera Cruz;32.14;30.53;32.14;Esgotado
7896523200576;Cimegripe 20 cápsulas;Consultar;Vera Cruz;29.43;13.21;13.90;Disponível
7892953000182;OSTEOTEC - 150mg, 1 comprimido revestido;Consultar;Vera Cruz;96.77;79.98;84.19;Esgotado
7898430192067;Suplemento Vitamínico Unizinco 17,60mg/ml Sabor Tutti Frutti 100ml;Consultar;Vera Cruz;34.74;29.71;31.27;Disponível
7896331702057;Calotrat Hertz Solução 5ml;Consultar;Vera Cruz;17.90;14.62;15.39;Disponível
7896112104070;Venaflon 900mg + 100mg 60 comprimidos;Consultar;Vera Cruz;270.29;102.71;54.06;Disponível
7896658023323;Montelair 4mg Sabor Cereja 30 comprimidos mastigáveis;Consultar;Vera Cruz;78.90;62.22;65.49;Disponível
7896004726724;Hormoskin Creme Dermatológico 15g;Consultar;Vera Cruz;100.48;89.73;94.45;Disponível
7896658018992;Esalerg 5mg 10 comprimidos revestidos;Consultar;Vera Cruz;70.48;58.25;61.32;Disponível
7892953001745;Flodin Duo 150mg 10 comprimidos de liberação controlada;Consultar;Vera Cruz;62.83;48.94;51.52;Esgotado
7896230301283;Óleo Mineral ADV Farma 100% Puro 100ml;Consultar;Vera Cruz;14.90;12.04;12.67;Disponível
7896714292137;Pepsamar Sabor Menta 10 comprimidos mastigáveis;Consultar;Vera Cruz;9.00;7.95;8.37;Disponível
7891317009717;Tâmisa 30 75mcg + 30mcg 21 drágeas;Consultar;Vera Cruz;39.79;31.38;33.03;Disponível
7898029552210;Diamicron MR 60mg 60 comprimidos de liberação prolongada;Consultar;Vera Cruz;211.69;160.88;56.45;Disponível
7891721024924;Concor 1,25mg 30 comprimidos revestidos;Consultar;Vera Cruz;77.14;57.16;60.17;Disponível
7891106910163;Gyno - Icaden 10mg/g Creme Vaginal 40g + 7 aplicadores;Consultar;Vera Cruz;100.91;83.40;87.79;Esgotado
7894916500272;Neutrofer 500mg 30 comprimidos revestidos;Consultar;Vera Cruz;93.25;75.30;79.26;Disponível
7896026170635;Laxol Sabor Hortelã 60ml;Consultar;Vera Cruz;29.90;25.56;26.91;Esgotado
7891106910620;Icaden 10mg/g Creme Dermatológico 20g;Consultar;Vera Cruz;52.34;46.25;48.68;Disponível
7898074617803;Spidufen 1155mg Sabor Damasco com 10 Envelopes de 3g cada;Consultar;Vera Cruz;55.37;45.76;48.17;Disponível
7891035010842;Pastilhas para Garganta Strepsils Sabor Mel e Limão 8 pastilhas;Consultar;Vera Cruz;17.49;14.13;14.87;Disponível
7895858017194;Emla 5%  Creme 5g + 2 bandagens oclusivas;Consultar;Vera Cruz;31.44;26.89;28.30;Esgotado
7896181901808;Cordarex 10mg 30 comprimidos;Consultar;Vera Cruz;61.03;48.12;50.65;Disponível
7896331701661;Resfenol Xarope Sabor Laranja 100ml;Consultar;Vera Cruz;32.87;31.23;32.87;Disponível
7896004778297;Capy Solução Capilar 50mg/ml 2 frascos de 50ml cada;Consultar;Vera Cruz;103.21;98.05;51.61;Esgotado
7896006240723;Doxaprost 4mg 30 comprimidos;Consultar;Vera Cruz;74.65;34.04;35.83;Disponível
7896658040221;Feminique Conti 3mg + 0,03mg 28 comprimidos;Consultar;Vera Cruz;70.23;56.04;58.99;Disponível
7896637022552;Retemic 5mg 30 comprimidos;Consultar;Vera Cruz;45.29;37.43;39.40;Disponível
7892953001370;Pyridium 100mg 25 Drágeas;Consultar;Vera Cruz;29.90;22.44;23.62;Disponível
7896523207704;Loratadina 1mg/ml, Cimed 100ml;Consultar;Vera Cruz;35.80;14.96;15.75;Disponível
7896112401605;Vonau Flash 8mg, Sabor Menta 10 comprimidos de desintegração oral;Consultar;Vera Cruz;97.38;63.83;67.19;Disponível
7896658005978;Mirtax 5mg 30 comprimidos revestidos;Consultar;Vera Cruz;0.00;0.00;0.00;Esgotado
7896094207745;Stanglit 15mg 30 comprimidos;Consultar;Vera Cruz;94.97;68.57;72.18;Disponível
7896641808777;Mesacol 250mg 15 supositórios;Consultar;Vera Cruz;82.27;64.87;68.28;Disponível
7897337706568;Singulair 10mg 30 comprimidos;Consultar;Vera Cruz;94.53;72.74;76.57;Disponível
7896658024955;Bravan Duo 160mg/5mg 30 comprimidos;Consultar;Vera Cruz;70.68;55.73;58.66;Disponível
7897322709536;Vitamina D3 Addera D3 50.000UI 10 comprimidos revestidos;Consultar;Vera Cruz;298.77;283.83;99.59;Esgotado
7896094201453;Siblima 60mcg + 15mcg 24 comprimidos revestidos;Consultar;Vera Cruz;46.62;34.54;36.36;Disponível
7897411610958;Loxonin 60mg 30 comprimidos;Consultar;Vera Cruz;81.54;63.52;66.86;Disponível
7896112407034;Doss Zinco 2000UI + 20mg 60 cápsulas gelatinosas moles;Consultar;Vera Cruz;72.50;68.88;72.50;Disponível
7896658036057;Cefalium One 750mg 20 Comprimidos;Consultar;Vera Cruz;32.46;26.21;27.59;Disponível
