Produto Original,Total Unidades,Frequencia,Termo de Busca
Acetilcisteína 600mg Granulado Sabor Laranja 16 envelopes EMS Genérico,745.0,29,Acetilcisteína Granulado Sabor Laranja Ems Genérico
"Babymed 1000UI/g + 400UI/g + 100mg/g, bisnaga com 45g de pomada de uso dermatológico, 3 unidades",679.0,26,Babymed 1000Ui G 400Ui G G Bisnaga Com De Pomada De Uso Dermatológico
"Gestrelan 0,15mg + 0,03mg com 21 comprimidos",640.0,28,Gestrelan 0 0 Com
"Enterogermina 2BCFU/5mL, caixa com 10 flaconetes com 5mL de suspensão de uso oral",597.0,24,Enterogermina 2Bcfu
"Hederaflux 7Mg Ml, Caixa Com 1 Frasco Com 100Ml De Xarope + Copo Dosador",591.0,16,Hederaflux Ml
Maleato de Enalapril 10mg 30 comprimidos Cimed Genérico,590.0,27,Maleato De Enalapril Cimed Genérico
Anafranil Sr 75Mg 20Cpr,557.0,17,Anafranil Sr 20Cpr
Diclo colestiramina 70 20 l3 ems,556.0,16,Diclo Colestiramina 70 3 Ems
"Spray para Garganta Extrato de Mel, Própolis e Gengibre Ambroxmel Sabor Gengibre 30mL",552.0,14,Spray Para Garganta Extrato De Mel Própolis E Gengibre Ambroxmel Sabor Gengibre
"Salsep 9mg/mL, caixa com 1 frasco spray com 50mL de solução de uso nasal",525.0,26,Salsep Ml
Mínima 24 Comprimidos + 4 Comprimidos Inertes,524.0,16,Mínima Inertes
Biovicerin com 6 flaconetes de 5ml,517.0,16,Biovicerin Com 6 Flaconetes De
Floratil 100mg FQM 12 cápsulas,517.0,14,Floratil Fqm
Nitrendipino 10mg 30 Comprimidos,514.0,15,Nitrendipino
Sumaxpro 500+85mg com 2 comprimidos revestidos,512.0,16,Sumaxpro 500 Com Revestidos
"Ciflogex Pastilha 3mg, caixa com 12 pastilhas, sabor laranja",512.0,14,Ciflogex Pastilha
Estomazil Sem Sabor Pó Efervescente Frasco 100g,509.0,26,Estomazil Sem Sabor Pó Efervescente Frasco
"Atenolol Sandoz 25mg, caixa com 30 comprimidos revestidos",509.0,15,Atenolol Sandoz
"Simeticona Legrand 40mg, caixa com 20 comprimidos",508.0,17,Simeticona Legrand
"Diane 35 2mg + 0,035mg, caixa com 21 comprimidos revestidos",505.0,13,Diane 35 0
"Loratadina Biosintética - Aché 10mg, caixa com 12 comprimidos revestidos",504.0,15,Loratadina Biosintética Aché
Dexclorfeniramina Beta 2Mg 20Cpr Nq,503.0,15,Dexclorfeniramina Beta 20Cpr Nq
"Ciconazol Loção 20mg/g, caixa com 1 frasco com 30mL de loção de uso dermatológico",502.0,16,Ciconazol Loção G
"Enzilac 4500 FCC, caixa com 30 comprimidos mastigáveis",502.0,17,Enzilac 4500 Fcc
Exodus 20mg solução oral gotas 15ml,501.0,15,Exodus Solução Oral Gotas
Qlaira caixa com 26 comprimidos ativos + 2 comprimidos inativos,499.0,13,Qlaira
Famox Famotidina 20mg 10 comprimidos,497.0,15,Famox Famotidina
Lamitor Cd 25Mg 30Cpr,497.0,15,Lamitor Cd 30Cpr
Depakote ER 500mg caixa com 30 comprimidos revestidos,494.0,13,Depakote Er
Damater Omega Frasco Com 30 Capsulas,493.0,16,Damater Omega
@ Levofloxacino 500Mg 10Cp Euro,493.0,16,Levofloxacino 10Cp Euro
Fisiogen Ferro Caixa Com 30 Capsulas,492.0,14,Fisiogen Ferro
"Maresis 0,9  Spray Nasal Jato Forte com 100mL",490.0,16,Maresis 0 9 Spray Nasal Jato Forte Com
