Produto Original,Total Unidades,Frequencia,Termo de Busca
"Drenison 0,125mg/g Creme 30g",580.0,15,Drenison 0 G Creme
Glargilin 100ui/ml 1 caneta descartável preenchida com 3ml de solução injetável,577.0,16,Glargilin 100Ui Ml 1 Caneta Descartável Preenchida Com De Solução Injetável
Naprix 5mg 90 comprimidos,555.0,16,Naprix
"Fluidificante Nasal Neosoro 0,9% Fluid Spray 50ml",546.0,16,Fluidificante Nasal Neosoro 0 9 Fluid Spray
Cimegripe 20 cápsulas,541.0,15,Cimegripe
"OSTEOTEC - 150mg, 1 comprimido revestido",540.0,17,Osteotec Revestido
"Suplemento Vitamínico Unizinco 17,60mg/ml Sabor Tutti Frutti 100ml",536.0,15,Suplemento Vitamínico Unizinco 17 Ml Sabor Tutti Frutti
Calotrat Hertz Solução 5ml,536.0,17,Calotrat Hertz Solução
Venaflon 900mg + 100mg 60 comprimidos,532.0,15,Venaflon
Montelair 4mg Sabor Cereja 30 comprimidos mastigáveis,530.0,15,Montelair Sabor Cereja Mastigáveis
Hormoskin Creme Dermatológico 15g,521.0,15,Hormoskin Creme Dermatológico
Esalerg 5mg 10 comprimidos revestidos,508.0,14,Esalerg Revestidos
DTN-fol 400mcg + 10mg 90 cápsulas moles,506.0,16,Dtn Fol Moles
Flodin Duo 150mg 10 comprimidos de liberação controlada,505.0,16,Flodin Duo De Liberação Controlada
Óleo Mineral ADV Farma 100% Puro 100ml,503.0,16,Óleo Mineral Adv Farma 100 Puro
Pepsamar Sabor Menta 10 comprimidos mastigáveis,502.0,14,Pepsamar Sabor Menta Mastigáveis
Tâmisa 30 75mcg + 30mcg 21 drágeas,500.0,15,Tâmisa 30
Diamicron MR 60mg 60 comprimidos de liberação prolongada,500.0,15,Diamicron Mr De Liberação Prolongada
"Concor 1,25mg 30 comprimidos revestidos",497.0,15,Concor 1 Revestidos
Gyno - Icaden 10mg/g Creme Vaginal 40g + 7 aplicadores,494.0,13,Gyno Icaden G Creme Vaginal 7 Aplicadores
Neutrofer 500mg 30 comprimidos revestidos,493.0,14,Neutrofer Revestidos
Bálsamo Bengué Aerossol 85ml,493.0,13,Bálsamo Bengué Aerossol
Laxol Sabor Hortelã 60ml,490.0,13,Laxol Sabor Hortelã
Icaden 10mg/g Creme Dermatológico 20g,489.0,14,Icaden G Creme Dermatológico
Spidufen 1155mg Sabor Damasco com 10 Envelopes de 3g cada,489.0,14,Spidufen Sabor Damasco Com De Cada
Pastilhas para Garganta Strepsils Sabor Mel e Limão 8 pastilhas,486.0,15,Pastilhas Para Garganta Strepsils Sabor Mel E Limão 8 Pastilhas
Emla 5%  Creme 5g + 2 bandagens oclusivas,480.0,16,Emla 5 Creme 2 Bandagens Oclusivas
Cordarex 10mg 30 comprimidos,479.0,15,Cordarex
Suplemento Vitamínico Imunoglucan DS Sabor Tutti-Frutti 150ml,478.0,14,Suplemento Vitamínico Imunoglucan Ds Sabor Tutti Frutti
Resfenol Xarope Sabor Laranja 100ml,475.0,14,Resfenol Xarope Sabor Laranja
Capy Solução Capilar 50mg/ml 2 frascos de 50ml cada,473.0,16,Capy Solução Capilar Ml 2 Frascos De Cada
Doxaprost 4mg 30 comprimidos,472.0,15,Doxaprost
"Feminique Conti 3mg + 0,03mg 28 comprimidos",469.0,14,Feminique Conti 0
Retemic 5mg 30 comprimidos,469.0,14,Retemic
Pyridium 100mg 25 Drágeas,467.0,15,Pyridium
